drone_id,t,x,y,z,yaw
cf1,0.0000,0.5000,0.0000,0.5000,0.0000
cf1,0.1000,0.4744,0.0000,0.5000,0.0000
cf1,0.2000,0.4637,0.0000,0.5000,0.0000
cf1,0.3000,0.4637,-0.0000,0.5000,0.0000
cf1,0.4000,0.4637,-0.0000,0.5000,0.0000
cf1,0.5000,0.4637,-0.0000,0.5000,0.0000
cf1,0.6000,0.4573,0.0002,0.4992,0.0000
cf1,0.7000,0.4363,0.0012,0.4952,0.0000
cf1,0.8000,0.4010,0.0031,0.4862,0.0000
cf1,0.9000,0.3521,0.0060,0.4708,0.0000
cf1,1.0000,0.2898,0.0102,0.4481,0.0000
cf1,1.1000,0.2188,0.0151,0.4205,0.0000
cf1,1.2000,0.1495,0.0198,0.3937,0.0000
cf1,1.3000,0.0930,0.0236,0.3738,0.0000
cf1,1.4000,0.0500,0.0262,0.3609,0.0000
cf1,1.5000,0.0208,0.0278,0.3540,0.0000
cf1,1.6000,0.0061,0.0284,0.3514,0.0000
cf1,1.7000,0.0061,0.0284,0.3514,0.0000
cf1,1.8000,0.0061,0.0284,0.3514,0.0000
cf1,1.9000,0.0061,0.0284,0.3514,0.0000
cf1,2.0000,0.0061,0.0284,0.3514,0.0000
cf1,2.1000,0.0061,0.0284,0.3514,0.0000
cf1,2.2000,0.0061,0.0284,0.3514,0.0000
cf1,2.3000,0.0061,0.0284,0.3514,0.0000
cf1,2.4000,-0.0088,0.0281,0.3534,0.0000
cf1,2.5000,-0.0383,0.0272,0.3587,0.0000
cf1,2.6000,-0.0822,0.0256,0.3685,0.0000
cf1,2.7000,-0.1366,0.0233,0.3826,0.0000
cf1,2.8000,-0.1964,0.0205,0.3995,0.0000
cf1,2.9000,-0.2570,0.0176,0.4171,0.0000
cf1,3.0000,-0.3146,0.0147,0.4333,0.0000
cf1,3.1000,-0.3661,0.0123,0.4466,0.0000
cf1,3.2000,-0.4093,0.0103,0.4564,0.0000
cf1,3.3000,-0.4428,0.0089,0.4627,0.0000
cf1,3.4000,-0.4665,0.0080,0.4662,0.0000
cf1,3.5000,-0.4810,0.0075,0.4678,0.0000
cf1,3.6000,-0.4881,0.0073,0.4683,0.0000
cf1,3.7000,-0.4906,0.0072,0.4684,0.0000
cf1,3.8000,-0.4932,0.0072,0.4685,0.0000
cf1,3.9000,-0.5035,0.0071,0.4686,0.0000
cf2,0.0000,-0.5000,0.0000,0.5000,0.0000
cf2,0.1000,-0.4744,0.0000,0.5000,0.0000
cf2,0.2000,-0.4624,0.0000,0.5000,0.0000
cf2,0.3000,-0.4534,-0.0001,0.5001,0.0000
cf2,0.4000,-0.4418,-0.0006,0.5004,0.0000
