drone_id,t,x,y,z,yaw
cf1,0.0000,-0.5000,0.0000,2.0000,0.0000
cf1,0.1000,-0.4744,0.0000,2.0000,0.0000
cf1,0.2000,-0.4589,0.0000,2.0000,0.0000
cf1,0.3000,-0.4489,0.0000,1.9998,0.0000
cf1,0.4000,-0.4401,0.0000,1.9995,0.0000
cf1,0.5000,-0.4294,0.0000,1.9986,0.0001
cf1,0.6000,-0.4144,0.0000,1.9969,0.0001
cf1,0.7000,-0.3938,0.0000,1.9937,0.0001
cf1,0.8000,-0.3673,0.0000,1.9886,0.0001
cf1,0.9000,-0.3350,0.0000,1.9812,0.0001
cf1,1.0000,-0.2982,0.0000,1.9717,0.0001
cf1,1.1000,-0.2581,0.0000,1.9605,0.0001
cf1,1.2000,-0.2165,0.0000,1.9484,0.0001
cf1,1.3000,-0.1752,0.0000,1.9364,0.0001
cf1,1.4000,-0.1361,0.0000,1.9255,0.0001
cf1,1.5000,-0.1008,0.0000,1.9164,0.0001
cf1,1.6000,-0.0706,0.0000,1.9096,0.0001
cf1,1.7000,-0.0461,0.0000,1.9050,0.0001
cf1,1.8000,-0.0271,0.0000,1.9022,0.0001
cf1,1.9000,-0.0120,0.0000,1.9007,0.0000
cf1,2.0000,0.0018,0.0000,1.9000,0.0000
cf1,2.1000,0.0163,0.0001,1.8999,0.0000
cf1,2.2000,0.0333,0.0001,1.9006,-0.0000
cf1,2.3000,0.0538,0.0000,1.9022,-0.0000
cf1,2.4000,0.0782,0.0000,1.9049,-0.0001
cf1,2.5000,0.1062,0.0000,1.9088,-0.0001
cf1,2.6000,0.1373,0.0000,1.9138,-0.0001
cf1,2.7000,0.1706,0.0000,1.9197,-0.0001
cf1,2.8000,0.2053,0.0000,1.9262,-0.0001
cf1,2.9000,0.2404,0.0000,1.9329,-0.0001
cf1,3.0000,0.2751,0.0000,1.9394,-0.0001
cf1,3.1000,0.3086,0.0000,1.9454,-0.0001
cf1,3.2000,0.3401,0.0000,1.9507,-0.0001
cf1,3.3000,0.3693,0.0000,1.9551,-0.0001
cf1,3.4000,0.3960,0.0000,1.9585,-0.0001
cf1,3.5000,0.4200,0.0000,1.9611,-0.0001
cf1,3.6000,0.4419,0.0000,1.9629,-0.0000
cf1,3.7000,0.4623,0.0000,1.9641,-0.0000
cf1,3.8000,0.4826,0.0000,1.9648,-0.0000
cf1,3.9000,0.5042,0.0000,1.9651,-0.0000
cf2,0.0000,0.5000,0.0000,2.0000,0.0000
cf2,0.1000,0.4744,0.0000,2.0000,0.0000
cf2,0.2000,0.4589,0.0000,2.0000,0.0000
cf2,0.3000,0.4489,-0.0000,2.0002,0.0000
cf2,0.4000,0.4401,-0.0000,2.0005,0.0000
cf2,0.5000,0.4294,-0.0000,2.0014,0.0000
cf2,0.6000,0.4144,-0.0000,2.0031,0.0000
cf2,0.7000,0.3938,-0.0000,2.0063,0.0000
cf2,0.8000,0.3673,-0.0000,2.0114,0.0000
cf2,0.9000,0.3350,-0.0000,2.0188,0.0000
cf2,1.0000,0.2982,-0.0000,2.0283,0.0000
cf2,1.1000,0.2581,-0.0000,2.0395,0.0000
cf2,1.2000,0.2165,-0.0000,2.0516,0.0000
cf2,1.3000,0.1752,-0.0000,2.0636,0.0000
cf2,1.4000,0.1361,-0.0000,2.0745,0.0000
cf2,1.5000,0.1008,-0.0000,2.0836,0.0000
cf2,1.6000,0.0706,-0.0000,2.0904,0.0000
cf2,1.7000,0.0461,-0.0000,2.0950,0.0000
cf2,1.8000,0.0271,-0.0000,2.0978,0.0000
cf2,1.9000,0.0120,-0.0000,2.0993,0.0000
cf2,2.0000,-0.0018,-0.0000,2.1000,0.0000
cf2,2.1000,-0.0163,-0.0000,2.1001,0.0000
cf2,2.2000,-0.0333,-0.0000,2.0994,0.0000
cf2,2.3000,-0.0538,-0.0000,2.0978,0.0000
cf2,2.4000,-0.0782,-0.0000,2.0951,0.0000
cf2,2.5000,-0.1062,-0.0000,2.0912,0.0000
cf2,2.6000,-0.1373,-0.0000,2.0862,0.0000
cf2,2.7000,-0.1706,-0.0000,2.0803,0.0000
cf2,2.8000,-0.2053,-0.0000,2.0738,0.0000
cf2,2.9000,-0.2404,-0.0000,2.0671,0.0000
cf2,3.0000,-0.2751,-0.0000,2.0606,0.0000
cf2,3.1000,-0.3085,-0.0000,2.0546,0.0000
cf2,3.2000,-0.3401,-0.0000,2.0493,0.0000
cf2,3.3000,-0.3693,-0.0000,2.0449,0.0000
cf2,3.4000,-0.3960,-0.0000,2.0415,0.0000
cf2,3.5000,-0.4200,-0.0000,2.0389,0.0000
cf2,3.6000,-0.4419,-0.0000,2.0371,0.0000
cf2,3.7000,-0.4623,-0.0000,2.0359,0.0000
cf2,3.8000,-0.4826,-0.0000,2.0352,0.0000
cf2,3.9000,-0.5042,-0.0000,2.0349,0.0000
