drone_id,t,x,y,z,yaw
cf1,0.0000,-0.5000,0.0000,2.0000,0.0000    
cf1,0.1000,-0.4744,0.0000,2.0000,0.0000   
cf1,0.2000,-0.4637,0.0000,2.0000,0.0000    
cf1,0.3000,-0.4637,0.0000,2.0000,0.0000    
cf1,0.4000,-0.4637,0.0000,2.0000,0.0000    
cf1,0.5000,-0.4591,0.0000,1.9997,0.0000    
cf1,0.6000,-0.4458,0.0000,1.9985,0.0000    
cf1,0.7000,-0.4218,0.0000,1.9952,0.0000    
cf1,0.8000,-0.3866,0.0000,1.9890,0.0000
cf1,0.9000,-0.3408,0.0000,1.9790,0.0000
cf1,1.0000,-0.2863,0.0000,1.9654,0.0000
cf1,1.1000,-0.2265,0.0000,1.9494,0.0000
cf1,1.2000,-0.1658,0.0000,1.9330,0.0000
cf1,1.3000,-0.1094,0.0000,1.9187,0.0000
cf1,1.4000,-0.0625,0.0000,1.9085,0.0000
cf1,1.5000,-0.0298,0.0000,1.9029,0.0000
cf1,1.6000,-0.0118,0.0000,1.9007,0.0000
cf1,1.7000,-0.0034,0.0000,1.9001,0.0000
cf1,1.8000,-0.0026,0.0000,1.9000,0.0000
cf1,1.9000,-0.0006,0.0000,1.9000,0.0000    
cf1,2.0000,0.0021,0.0000,1.9000,0.0000
cf1,2.1000,0.0049,0.0000,1.9001,0.0000
cf1,2.2000,0.0137,0.0000,1.9007,0.0000
cf1,2.3000,0.0342,0.0000,1.9028,0.0000
cf1,2.4000,0.0655,0.0000,1.9072,0.0000
cf1,2.5000,0.1043,0.0000,1.9136,0.0000
cf1,2.6000,0.1471,0.0000,1.9214,0.0000
cf1,2.7000,0.1905,0.0000,1.9298,0.0000
cf1,2.8000,0.2323,0.0000,1.9377,0.0000
cf1,2.9000,0.2713,0.0000,1.9449,0.0000
cf1,3.0000,0.3071,0.0000,1.9510,0.0000
cf1,3.1000,0.3398,0.0000,1.9563,0.0000
cf1,3.2000,0.3700,0.0000,1.9607,0.0000
cf1,3.3000,0.3979,0.0000,1.9643,0.0000
cf1,3.4000,0.4236,0.0000,1.9673,0.0000
cf1,3.5000,0.4467,0.0000,1.9697,0.0000
cf1,3.6000,0.4663,0.0000,1.9713,0.0000
cf1,3.7000,0.4813,0.0000,1.9722,0.0000
cf1,3.8000,0.4915,0.0000,1.9727,0.0000
cf1,3.9000,0.5021,0.0000,1.9729,0.0000
cf2,0.0000,0.5000,-0.0000,2.0000,3.1416
cf2,0.1000,0.4744,0.0000,2.0000,3.1416
cf2,0.2000,0.4637,0.0000,2.0000,3.1416
cf2,0.3000,0.4637,0.0000,2.0000,3.1416
cf2,0.4000,0.4637,0.0000,2.0000,3.1416
cf2,0.5000,0.4591,-0.0000,2.0003,3.1416
cf2,0.6000,0.4458,-0.0000,2.0015,3.1416
cf2,0.7000,0.4218,-0.0000,2.0048,3.1416
cf2,0.8000,0.3866,-0.0000,2.0110,3.1416
cf2,0.9000,0.3408,-0.0000,2.0210,3.1416
cf2,1.0000,0.2863,-0.0000,2.0346,3.1416
cf2,1.1000,0.2265,-0.0000,2.0507,3.1416
cf2,1.2000,0.1657,-0.0000,2.0671,3.1416
cf2,1.3000,0.1093,-0.0000,2.0813,3.1416
cf2,1.4000,0.0625,-0.0000,2.0915,3.1416
cf2,1.5000,0.0298,-0.0000,2.0971,3.1416
cf2,1.6000,0.0118,-0.0000,2.0993,3.1416
cf2,1.7000,0.0035,-0.0000,2.0999,3.1416
cf2,1.8000,0.0026,-0.0000,2.1000,3.1416
cf2,1.9000,0.0006,-0.0000,2.1000,3.1416
cf2,2.0000,-0.0021,-0.0000,2.1000,3.1416
cf2,2.1000,-0.0049,-0.0000,2.0999,3.1416
cf2,2.2000,-0.0137,-0.0000,2.0993,3.1416
cf2,2.3000,-0.0342,-0.0000,2.0972,3.1416
cf2,2.4000,-0.0655,-0.0000,2.0928,3.1416
cf2,2.5000,-0.1044,-0.0000,2.0864,3.1416
cf2,2.6000,-0.1471,-0.0000,2.0786,3.1416
cf2,2.7000,-0.1906,-0.0000,2.0702,3.1416
cf2,2.8000,-0.2324,-0.0000,2.0623,3.1416
cf2,2.9000,-0.2713,-0.0000,2.0551,3.1416
cf2,3.0000,-0.3071,-0.0000,2.0490,3.1416
cf2,3.1000,-0.3398,-0.0000,2.0437,3.1416
cf2,3.2000,-0.3700,-0.0000,2.0393,3.1416
cf2,3.3000,-0.3979,-0.0000,2.0357,3.1416
cf2,3.4000,-0.4236,-0.0000,2.0327,3.1416
cf2,3.5000,-0.4467,-0.0000,2.0303,3.1416
cf2,3.6000,-0.4662,-0.0000,2.0287,3.1416
cf2,3.7000,-0.4813,-0.0000,2.0278,3.1416
cf2,3.8000,-0.4915,-0.0000,2.0273,3.1416
cf2,3.9000,-0.5021,-0.0000,2.0271,3.1416
