drone_id,t,x,y,z,yaw
cf1,0.0000,-0.5000,0.0000,2.0000,0.0000
cf1,0.1000,-0.4744,0.0000,2.0000,0.0000
cf1,0.2000,-0.4542,0.0000,2.0000,0.0000
cf1,0.3000,-0.4369,0.0000,1.9997,0.0000
cf1,0.4000,-0.4205,0.0000,1.9989,0.0001
cf1,0.5000,-0.4033,0.0000,1.9975,0.0001
cf1,0.6000,-0.3841,0.0000,1.9951,0.0001
cf1,0.7000,-0.3623,0.0000,1.9914,0.0002
cf1,0.8000,-0.3376,0.0000,1.9862,0.0002
cf1,0.9000,-0.3102,0.0000,1.9794,0.0002
cf1,1.0000,-0.2805,0.0000,1.9711,0.0002
cf1,1.1000,-0.2491,0.0000,1.9616,0.0002
cf1,1.2000,-0.2169,0.0000,1.9514,0.0003
cf1,1.3000,-0.1847,0.0000,1.9411,0.0003
cf1,1.4000,-0.1533,0.0001,1.9312,0.0002
cf1,1.5000,-0.1236,0.0001,1.9223,0.0002
cf1,1.6000,-0.0963,0.0001,1.9150,0.0002
cf1,1.7000,-0.0718,0.0001,1.9092,0.0002
cf1,1.8000,-0.0502,0.0001,1.9051,0.0001
cf1,1.9000,-0.0310,0.0001,1.9024,0.0001
cf1,2.0000,-0.0129,0.0001,1.9008,0.0001
cf1,2.1000,0.0063,0.0001,1.9002,0.0000
cf1,2.2000,0.0272,0.0001,1.9006,-0.0000
cf1,2.3000,0.0507,0.0001,1.9023,-0.0001
cf1,2.4000,0.0768,0.0001,1.9054,-0.0001
cf1,2.5000,0.1053,0.0001,1.9099,-0.0001
cf1,2.6000,0.1358,0.0001,1.9158,-0.0002
cf1,2.7000,0.1678,0.0001,1.9227,-0.0002
cf1,2.8000,0.2007,0.0001,1.9305,-0.0002
cf1,2.9000,0.2337,0.0001,1.9386,-0.0002
cf1,3.0000,0.2664,0.0000,1.9467,-0.0002
cf1,3.1000,0.2983,0.0000,1.9543,-0.0002
cf1,3.2000,0.3288,0.0000,1.9611,-0.0002
cf1,3.3000,0.3578,0.0000,1.9670,-0.0002
cf1,3.4000,0.3850,0.0000,1.9718,-0.0001
cf1,3.5000,0.4104,0.0000,1.9756,-0.0001
cf1,3.6000,0.4343,0.0000,1.9783,-0.0001
cf1,3.7000,0.4571,0.0000,1.9803,-0.0000
cf1,3.8000,0.4796,0.0000,1.9816,-0.0000
cf1,3.9000,0.5029,0.0000,1.9823,-0.0000
cf2,0.0000,0.5000,0.0000,2.0000,3.1416
cf2,0.1000,0.4744,0.0000,2.0000,3.1416
cf2,0.2000,0.4542,0.0000,2.0000,3.1416
cf2,0.3000,0.4369,-0.0000,2.0003,3.1416
cf2,0.4000,0.4205,-0.0000,2.0011,3.1417
cf2,0.5000,0.4033,-0.0000,2.0025,3.1417
cf2,0.6000,0.3841,-0.0000,2.0049,3.1417
cf2,0.7000,0.3623,-0.0000,2.0086,3.1417
cf2,0.8000,0.3376,-0.0000,2.0138,3.1418
cf2,0.9000,0.3102,-0.0000,2.0206,3.1418
cf2,1.0000,0.2805,-0.0000,2.0289,3.1418
cf2,1.1000,0.2491,-0.0000,2.0384,3.1418
cf2,1.2000,0.2169,-0.0000,2.0486,3.1418
cf2,1.3000,0.1847,-0.0000,2.0589,3.1418
cf2,1.4000,0.1533,-0.0001,2.0688,3.1418
cf2,1.5000,0.1236,-0.0001,2.0777,3.1418
cf2,1.6000,0.0963,-0.0001,2.0850,3.1418
cf2,1.7000,0.0718,-0.0001,2.0908,3.1418
cf2,1.8000,0.0502,-0.0001,2.0949,3.1417
cf2,1.9000,0.0310,-0.0001,2.0976,3.1417
cf2,2.0000,0.0129,-0.0001,2.0992,3.1417
cf2,2.1000,-0.0063,-0.0001,2.0998,3.1416
cf2,2.2000,-0.0272,-0.0001,2.0994,3.1416
cf2,2.3000,-0.0507,-0.0001,2.0977,3.1415
cf2,2.4000,-0.0768,-0.0001,2.0946,3.1415
cf2,2.5000,-0.1053,-0.0001,2.0901,3.1415
cf2,2.6000,-0.1358,-0.0001,2.0842,3.1414
cf2,2.7000,-0.1678,-0.0001,2.0773,3.1414
cf2,2.8000,-0.2007,-0.0001,2.0695,3.1414
cf2,2.9000,-0.2337,-0.0001,2.0614,3.1414
cf2,3.0000,-0.2664,-0.0000,2.0533,3.1414
cf2,3.1000,-0.2983,-0.0000,2.0457,3.1414
cf2,3.2000,-0.3288,-0.0000,2.0389,3.1414
cf2,3.3000,-0.3578,-0.0000,2.0330,3.1414
cf2,3.4000,-0.3850,-0.0000,2.0282,3.1415
cf2,3.5000,-0.4104,-0.0000,2.0244,3.1415
cf2,3.6000,-0.4343,-0.0000,2.0217,3.1415
cf2,3.7000,-0.4571,-0.0000,2.0197,3.1415
cf2,3.8000,-0.4796,-0.0000,2.0184,3.1416
cf2,3.9000,-0.5029,-0.0000,2.0177,3.1416
