drone_id,t,x,y,z,yaw
cf1,0.0000,-0.5000,0.0000,2.0000,0.0000
cf1,0.1000,-0.4744,-0.0000,2.0000,0.0000
cf1,0.2000,-0.4637,-0.0000,2.0000,0.0000
cf1,0.3000,-0.4519,0.0000,1.9995,0.0000
cf1,0.4000,-0.4349,0.0000,1.9981,0.0000
cf1,0.5000,-0.4131,0.0000,1.9953,0.0000
cf1,0.6000,-0.3877,0.0000,1.9911,0.0000
cf1,0.7000,-0.3595,0.0000,1.9855,0.0000
cf1,0.8000,-0.3292,0.0000,1.9786,0.0000
cf1,0.9000,-0.2973,0.0000,1.9706,0.0000
cf1,1.0000,-0.2640,0.0000,1.9617,0.0000
cf1,1.1000,-0.2296,0.0000,1.9521,0.0000
cf1,1.2000,-0.1942,0.0000,1.9421,0.0000
cf1,1.3000,-0.1584,0.0000,1.9320,0.0000
cf1,1.4000,-0.1226,0.0000,1.9225,0.0000
cf1,1.5000,-0.0882,0.0000,1.9141,0.0000
cf1,1.6000,-0.0566,0.0000,1.9074,0.0000
cf1,1.7000,-0.0303,0.0000,1.9029,0.0000
cf1,1.8000,-0.0119,0.0000,1.9006,0.0000
cf1,1.9000,-0.0032,0.0000,1.9001,0.0000
cf1,2.0000,0.0014,0.0000,1.9000,0.0000
cf1,2.1000,0.0135,0.0000,1.9006,0.0000
cf1,2.2000,0.0344,0.0000,1.9027,0.0000
cf1,2.3000,0.0615,0.0000,1.9066,0.0000
cf1,2.4000,0.0924,0.0000,1.9122,0.0000
cf1,2.5000,0.1252,0.0000,1.9190,0.0000
cf1,2.6000,0.1586,0.0000,1.9264,0.0000
cf1,2.7000,0.1916,0.0000,1.9342,0.0000
cf1,2.8000,0.2239,0.0000,1.9419,0.0000
cf1,2.9000,0.2553,0.0000,1.9494,0.0000
cf1,3.0000,0.2857,0.0000,1.9565,0.0000
cf1,3.1000,0.3152,0.0000,1.9631,0.0000
cf1,3.2000,0.3438,0.0000,1.9691,0.0000
cf1,3.3000,0.3714,0.0000,1.9745,0.0000
cf1,3.4000,0.3980,0.0000,1.9792,0.0000
cf1,3.5000,0.4231,0.0000,1.9831,0.0000
cf1,3.6000,0.4465,0.0000,1.9861,0.0000
cf1,3.7000,0.4673,0.0000,1.9882,0.0000
cf1,3.8000,0.4852,0.0000,1.9895,0.0000
cf1,3.9000,0.5011,0.0000,1.9901,0.0000
cf2,0.0000,0.5000,0.0000,2.0000,0.0000
cf2,0.1000,0.4744,0.0000,2.0000,0.0000
cf2,0.2000,0.4637,0.0000,2.0000,0.0000
cf2,0.3000,0.4519,-0.0000,2.0005,0.0000
cf2,0.4000,0.4349,-0.0000,2.0019,0.0000
cf2,0.5000,0.4131,-0.0000,2.0047,0.0000
cf2,0.6000,0.3876,-0.0000,2.0089,0.0000
cf2,0.7000,0.3594,-0.0000,2.0145,0.0000
cf2,0.8000,0.3292,-0.0000,2.0214,0.0000
cf2,0.9000,0.2973,-0.0000,2.0294,0.0000
cf2,1.0000,0.2641,-0.0000,2.0383,0.0000
cf2,1.1000,0.2297,-0.0000,2.0479,0.0000
cf2,1.2000,0.1943,-0.0000,2.0579,0.0000
cf2,1.3000,0.1585,-0.0000,2.0679,0.0000
cf2,1.4000,0.1228,-0.0000,2.0774,0.0000
cf2,1.5000,0.0883,-0.0000,2.0858,0.0000
cf2,1.6000,0.0567,-0.0000,2.0926,0.0000
cf2,1.7000,0.0303,-0.0000,2.0971,0.0000
cf2,1.8000,0.0118,-0.0000,2.0994,0.0000
cf2,1.9000,0.0029,-0.0000,2.1000,0.0000
cf2,2.0000,-0.0016,-0.0000,2.1000,0.0000
cf2,2.1000,-0.0136,-0.0000,2.0994,0.0000
cf2,2.2000,-0.0343,-0.0000,2.0973,0.0000
cf2,2.3000,-0.0614,-0.0000,2.0934,0.0000
cf2,2.4000,-0.0923,-0.0000,2.0879,0.0000
cf2,2.5000,-0.1251,-0.0000,2.0811,0.0000
cf2,2.6000,-0.1585,-0.0000,2.0736,0.0000
cf2,2.7000,-0.1915,-0.0000,2.0659,0.0000
cf2,2.8000,-0.2239,-0.0000,2.0581,0.0000
cf2,2.9000,-0.2553,-0.0000,2.0506,0.0000
cf2,3.0000,-0.2857,-0.0000,2.0435,0.0000
cf2,3.1000,-0.3152,-0.0000,2.0370,0.0000
cf2,3.2000,-0.3438,-0.0000,2.0309,0.0000
cf2,3.3000,-0.3715,-0.0000,2.0255,0.0000
cf2,3.4000,-0.3980,-0.0000,2.0208,0.0000
cf2,3.5000,-0.4232,-0.0000,2.0169,0.0000
cf2,3.6000,-0.4465,-0.0000,2.0139,0.0000
cf2,3.7000,-0.4674,-0.0000,2.0118,0.0000
cf2,3.8000,-0.4852,-0.0000,2.0105,0.0000
cf2,3.9000,-0.5011,-0.0000,2.0100,0.0000
