drone_id,t,u1,u2,u3
cf1,0.0000,-0.1500,-0.0745,-0.1462
cf1,0.1000,-0.1064,-0.0159,-0.1182
cf1,0.2000,-0.0000,-0.0039,-0.1147
cf1,0.3000,0.0000,-0.0012,-0.1149
cf1,0.4000,0.0643,0.0019,-0.0902
cf1,0.5000,0.1500,0.0074,-0.0302
cf1,0.6000,0.1500,0.0134,0.0475
cf1,0.7000,0.1500,0.0195,0.1322
cf1,0.8000,0.1500,0.0252,0.2110
cf1,0.9000,0.0988,0.0287,0.2589
cf1,1.0000,-0.0186,0.0282,0.2515
cf1,1.1000,-0.1445,0.0234,0.1897
cf1,1.2000,-0.1500,0.0176,0.1072
cf1,1.3000,-0.1500,0.0114,0.0224
cf1,1.4000,-0.1500,0.0052,-0.0527
cf1,1.5000,-0.1500,-0.0003,-0.1017
cf1,1.6000,-0.0000,-0.0011,-0.0936
cf1,1.7000,-0.0000,-0.0009,-0.0600
cf1,1.8000,0.0000,-0.0006,-0.0176
cf1,1.9000,-0.0000,-0.0002,0.0240
cf1,2.0000,0.0000,0.0000,0.0563
cf1,2.1000,0.0000,-0.0004,0.0663
cf1,2.2000,0.1500,-0.0041,0.0298
cf1,2.3000,0.1500,-0.0088,-0.0276
cf1,2.4000,0.1500,-0.0130,-0.0858
cf1,2.5000,0.1130,-0.0161,-0.1290
cf1,2.6000,0.0590,-0.0175,-0.1493
cf1,2.7000,0.0097,-0.0175,-0.1475
cf1,2.8000,-0.0329,-0.0163,-0.1280
cf1,2.9000,-0.0664,-0.0142,-0.0965
cf1,3.0000,-0.0893,-0.0115,-0.0588
cf1,3.1000,-0.1012,-0.0085,-0.0204
cf1,3.2000,-0.1023,-0.0056,0.0141
cf1,3.3000,-0.0935,-0.0030,0.0407
cf1,3.4000,-0.0752,-0.0010,0.0563
cf1,3.5000,-0.0457,0.0003,0.0597
cf1,3.6000,0.0007,0.0016,0.0543
cf1,3.7000,0.0773,0.0077,0.0549
cf1,3.8000,0.1500,0.0445,0.1041
cf1,3.9000,-0.0000,-0.0000,0.0000
cf2,0.0000,-0.1364,-0.1621,0.1204
cf2,0.1000,-0.0306,-0.0264,0.0528
cf2,0.2000,0.0266,0.0039,0.0162
cf2,0.3000,0.0516,0.0139,-0.0060
cf2,0.4000,0.0572,0.0201,-0.0208
cf2,0.5000,0.0519,0.0250,-0.0307
cf2,0.6000,0.0408,0.0287,-0.0365
cf2,0.7000,0.0269,0.0312,-0.0389
cf2,0.8000,0.0119,0.0323,-0.0381
cf2,0.9000,-0.0029,0.0320,-0.0346
cf2,1.0000,-0.0166,0.0304,-0.0291
cf2,1.1000,-0.0283,0.0278,-0.0227
cf2,1.2000,-0.0363,0.0245,-0.0175
cf2,1.3000,-0.0379,0.0212,-0.0162
cf2,1.4000,-0.0274,0.0186,-0.0220
cf2,1.5000,0.0060,0.0161,-0.0363
cf2,1.6000,0.0719,0.0169,-0.0524
cf2,1.7000,0.0674,0.0151,-0.0433
cf2,1.8000,0.1090,0.0000,0.0285
cf2,1.9000,-0.0955,-0.0109,0.0641
cf2,2.0000,-0.0792,-0.0128,0.0585
cf2,2.1000,-0.0828,-0.0120,0.0380
cf2,2.2000,-0.0191,-0.0120,0.0205
cf2,2.3000,0.0055,-0.0143,0.0100
cf2,2.4000,0.0204,-0.0156,0.0055
cf2,2.5000,0.0238,-0.0169,0.0049
cf2,2.6000,0.0218,-0.0181,0.0063
cf2,2.7000,0.0174,-0.0191,0.0085
cf2,2.8000,0.0121,-0.0196,0.0107
cf2,2.9000,0.0064,-0.0198,0.0128
cf2,3.0000,0.0006,-0.0197,0.0147
cf2,3.1000,-0.0052,-0.0192,0.0166
cf2,3.2000,-0.0109,-0.0183,0.0184
cf2,3.3000,-0.0162,-0.0172,0.0198
cf2,3.4000,-0.0202,-0.0157,0.0197
cf2,3.5000,-0.0210,-0.0137,0.0160
cf2,3.6000,-0.0150,-0.0090,0.0038
cf2,3.7000,0.0043,0.0103,-0.0264
cf2,3.8000,0.0471,0.1044,-0.0933
cf2,3.9000,0.0000,0.0000,-0.0000
cf3,0.0000,-0.1500,-0.3216,0.0363
cf3,0.1000,-0.1064,-0.0687,0.0296
cf3,0.2000,0.0000,-0.0171,0.0291
cf3,0.3000,0.0000,-0.0062,0.0296
cf3,0.4000,0.0128,0.0027,0.0243
cf3,0.5000,0.1375,0.0327,0.0045
cf3,0.6000,0.1500,0.0689,-0.0220
cf3,0.7000,0.1500,0.1042,-0.0479
cf3,0.8000,0.0945,0.1271,-0.0644
cf3,0.9000,0.0151,0.1312,-0.0659
cf3,1.0000,-0.0678,0.1151,-0.0515
cf3,1.1000,-0.1376,0.0828,-0.0245
cf3,1.2000,-0.1500,0.0456,0.0067
cf3,1.3000,-0.1500,0.0110,0.0338
cf3,1.4000,-0.0545,-0.0040,0.0459
cf3,1.5000,0.0045,-0.0034,0.0424
cf3,1.6000,0.0338,0.0061,0.0260
cf3,1.7000,0.0648,0.0200,-0.0020
cf3,1.8000,0.1457,0.0204,-0.0391
cf3,1.9000,0.0794,-0.0122,-0.0679
cf3,2.0000,0.0750,-0.0232,-0.0779
cf3,2.1000,0.0560,-0.0342,-0.0491
cf3,2.2000,-0.0455,-0.0434,0.0156
cf3,2.3000,-0.0257,-0.0427,0.0412
cf3,2.4000,-0.0020,-0.0412,0.0449
cf3,2.5000,0.0046,-0.0402,0.0398
cf3,2.6000,0.0031,-0.0393,0.0322
cf3,2.7000,-0.0017,-0.0381,0.0251
cf3,2.8000,-0.0076,-0.0365,0.0193
cf3,2.9000,-0.0136,-0.0345,0.0150
cf3,3.0000,-0.0195,-0.0321,0.0122
cf3,3.1000,-0.0250,-0.0293,0.0103
cf3,3.2000,-0.0302,-0.0262,0.0092
cf3,3.3000,-0.0346,-0.0228,0.0082
cf3,3.4000,-0.0368,-0.0193,0.0069
cf3,3.5000,-0.0343,-0.0152,0.0041
cf3,3.6000,-0.0218,-0.0075,-0.0028
cf3,3.7000,0.0099,0.0221,-0.0192
cf3,3.8000,0.0766,0.1683,-0.0567
cf3,3.9000,-0.0000,0.0000,0.0000
cf4,0.0000,-0.1500,-0.2582,0.0453
