drone_id,t,u1,u2,u3
cf1,0.0000,-0.0547,-0.0513,-0.1451
cf1,0.1000,-0.0237,-0.0252,-0.0926
cf1,0.2000,0.0023,-0.0097,-0.0510
cf1,0.3000,0.0222,-0.0001,-0.0173
cf1,0.4000,0.0356,0.0062,0.0106
cf1,0.5000,0.0426,0.0107,0.0338
cf1,0.6000,0.0440,0.0141,0.0531
cf1,0.7000,0.0405,0.0167,0.0687
cf1,0.8000,0.0334,0.0185,0.0806
cf1,0.9000,0.0237,0.0198,0.0884
cf1,1.0000,0.0129,0.0204,0.0915
cf1,1.1000,0.0023,0.0201,0.0890
cf1,1.2000,-0.0066,0.0190,0.0796
cf1,1.3000,-0.0121,0.0166,0.0617
cf1,1.4000,-0.0129,0.0122,0.0330
cf1,1.5000,-0.0075,0.0046,-0.0094
cf1,1.6000,-0.0405,-0.0020,-0.0403
cf1,1.7000,-0.0493,-0.0057,-0.0534
cf1,1.8000,-0.0675,-0.0078,-0.0542
cf1,1.9000,-0.0576,-0.0081,-0.0484
cf1,2.0000,-0.0392,-0.0077,-0.0402
cf1,2.1000,-0.0144,-0.0072,-0.0322
cf1,2.2000,0.0020,-0.0071,-0.0257
cf1,2.3000,0.0119,-0.0072,-0.0215
cf1,2.4000,0.0170,-0.0075,-0.0194
cf1,2.5000,0.0185,-0.0079,-0.0192
cf1,2.6000,0.0173,-0.0084,-0.0201
cf1,2.7000,0.0143,-0.0087,-0.0218
cf1,2.8000,0.0101,-0.0090,-0.0236
cf1,2.9000,0.0054,-0.0091,-0.0250
cf1,3.0000,0.0007,-0.0089,-0.0256
cf1,3.1000,-0.0035,-0.0085,-0.0249
cf1,3.2000,-0.0066,-0.0077,-0.0224
cf1,3.3000,-0.0079,-0.0065,-0.0175
cf1,3.4000,-0.0069,-0.0046,-0.0094
cf1,3.5000,-0.0029,-0.0014,0.0030
cf1,3.6000,0.0046,0.0041,0.0211
cf1,3.7000,0.0161,0.0136,0.0469
cf1,3.8000,0.0314,0.0302,0.0829
cf1,3.9000,0.0000,-0.0000,0.0000
cf2,0.0000,-0.1500,-0.1213,0.2241
cf2,0.1000,-0.1064,-0.0044,0.1049
cf2,0.2000,0.0000,-0.0012,0.1324
cf2,0.3000,0.0468,0.0014,0.1425
cf2,0.4000,0.1500,0.0102,0.0603
cf2,0.5000,0.1500,0.0192,-0.0349
cf2,0.6000,0.1500,0.0281,-0.1429
cf2,0.7000,0.1500,0.0370,-0.2752
cf2,0.8000,0.1500,0.0457,-0.4069
cf2,0.9000,-0.1500,0.0373,-0.2889
cf2,1.0000,-0.1500,0.0286,-0.1673
cf2,1.1000,-0.1500,0.0197,-0.0684
cf2,1.2000,-0.1500,0.0105,0.0154
cf2,1.3000,-0.1500,0.0013,0.0685
cf2,1.4000,0.0444,0.0044,-0.0523
cf2,1.5000,0.1500,0.0004,0.0251
cf2,1.6000,0.1500,-0.0082,0.2316
cf2,1.7000,0.1500,-0.0172,0.3281
cf2,1.8000,-0.0849,-0.0224,0.2916
cf2,1.9000,-0.1286,-0.0157,0.1518
cf2,2.0000,-0.1500,-0.0082,0.0038
cf2,2.1000,-0.1500,-0.0004,-0.1206
cf2,2.2000,-0.0278,0.0015,-0.1363
cf2,2.3000,-0.0000,0.0017,-0.1281
cf2,2.4000,0.0000,0.0020,-0.1358
cf2,2.5000,0.0000,0.0021,-0.1513
cf2,2.6000,0.1104,-0.0030,-0.0892
cf2,2.7000,0.1500,-0.0098,0.0073
cf2,2.8000,0.1500,-0.0165,0.1062
cf2,2.9000,0.1397,-0.0225,0.1966
cf2,3.0000,0.0458,-0.0243,0.2230
cf2,3.1000,-0.0433,-0.0222,0.1900
cf2,3.2000,-0.1178,-0.0170,0.1130
cf2,3.3000,-0.1500,-0.0105,0.0210
cf2,3.4000,-0.1500,-0.0041,-0.0630
cf2,3.5000,-0.1286,0.0012,-0.1174
cf2,3.6000,-0.0062,0.0012,-0.0785
cf2,3.7000,0.1043,-0.0010,0.0007
cf2,3.8000,0.1500,0.0767,-0.1806
cf2,3.9000,-0.0000,0.0000,-0.0000
cf3,0.0000,-0.1500,-0.1284,0.1761
cf3,0.1000,-0.1064,-0.0273,0.1289
cf3,0.2000,-0.0000,-0.0064,0.1070
cf3,0.3000,0.0055,-0.0002,0.0811
cf3,0.4000,0.1353,0.0104,0.0157
cf3,0.5000,0.1500,0.0227,-0.0698
