drone_id,t,u1,u2,u3
cf1,0.0000,-0.1099,-0.0646,-0.1645
cf1,0.1000,-0.0561,-0.0339,-0.1155
cf1,0.2000,-0.0102,-0.0156,-0.0750
cf1,0.3000,0.0256,-0.0036,-0.0388
cf1,0.4000,0.0505,0.0050,-0.0049
cf1,0.5000,0.0647,0.0119,0.0270
cf1,0.6000,0.0689,0.0176,0.0566
cf1,0.7000,0.0643,0.0224,0.0827
cf1,0.8000,0.0529,0.0261,0.1040
cf1,0.9000,0.0367,0.0286,0.1192
cf1,1.0000,0.0185,0.0299,0.1271
cf1,1.1000,0.0014,0.0299,0.1266
cf1,1.2000,-0.0114,0.0283,0.1164
cf1,1.3000,-0.0163,0.0247,0.0950
cf1,1.4000,-0.0094,0.0184,0.0598
cf1,1.5000,0.0126,0.0073,0.0069
cf1,1.6000,-0.0350,-0.0022,-0.0377
cf1,1.7000,-0.0445,-0.0073,-0.0602
cf1,1.8000,-0.0717,-0.0104,-0.0676
cf1,1.9000,-0.0796,-0.0113,-0.0660
cf1,2.0000,-0.0357,-0.0113,-0.0592
cf1,2.1000,-0.0069,-0.0112,-0.0518
cf1,2.2000,0.0105,-0.0114,-0.0457
cf1,2.3000,0.0193,-0.0118,-0.0416
cf1,2.4000,0.0219,-0.0124,-0.0393
cf1,2.5000,0.0200,-0.0129,-0.0383
cf1,2.6000,0.0151,-0.0133,-0.0378
cf1,2.7000,0.0083,-0.0134,-0.0373
cf1,2.8000,0.0007,-0.0132,-0.0362
cf1,2.9000,-0.0069,-0.0127,-0.0341
cf1,3.0000,-0.0136,-0.0118,-0.0308
cf1,3.1000,-0.0186,-0.0106,-0.0261
cf1,3.2000,-0.0213,-0.0090,-0.0199
cf1,3.3000,-0.0207,-0.0069,-0.0117
cf1,3.4000,-0.0162,-0.0041,-0.0011
cf1,3.5000,-0.0070,0.0001,0.0130
cf1,3.6000,0.0076,0.0068,0.0321
cf1,3.7000,0.0281,0.0184,0.0588
cf1,3.8000,0.0546,0.0387,0.0966
cf1,3.9000,-0.0000,0.0000,-0.0000
cf2,0.0000,-0.1099,-0.0646,0.1645
cf2,0.1000,-0.0561,-0.0339,0.1155
cf2,0.2000,-0.0102,-0.0156,0.0750
cf2,0.3000,0.0256,-0.0036,0.0388
cf2,0.4000,0.0505,0.0050,0.0049
cf2,0.5000,0.0647,0.0119,-0.0270
cf2,0.6000,0.0689,0.0176,-0.0566
cf2,0.7000,0.0643,0.0224,-0.0827
cf2,0.8000,0.0529,0.0261,-0.1040
cf2,0.9000,0.0367,0.0286,-0.1192
cf2,1.0000,0.0185,0.0299,-0.1271
cf2,1.1000,0.0014,0.0299,-0.1266
cf2,1.2000,-0.0114,0.0283,-0.1164
cf2,1.3000,-0.0163,0.0247,-0.0950
cf2,1.4000,-0.0094,0.0184,-0.0598
cf2,1.5000,0.0126,0.0073,-0.0069
cf2,1.6000,-0.0350,-0.0022,0.0376
cf2,1.7000,-0.0445,-0.0073,0.0602
cf2,1.8000,-0.0717,-0.0104,0.0676
cf2,1.9000,-0.0796,-0.0113,0.0660
cf2,2.0000,-0.0357,-0.0113,0.0592
cf2,2.1000,-0.0069,-0.0112,0.0518
cf2,2.2000,0.0105,-0.0114,0.0457
cf2,2.3000,0.0193,-0.0118,0.0416
cf2,2.4000,0.0219,-0.0124,0.0393
cf2,2.5000,0.0200,-0.0129,0.0383
cf2,2.6000,0.0151,-0.0133,0.0378
cf2,2.7000,0.0083,-0.0134,0.0373
cf2,2.8000,0.0007,-0.0132,0.0362
cf2,2.9000,-0.0068,-0.0127,0.0341
cf2,3.0000,-0.0136,-0.0118,0.0308
cf2,3.1000,-0.0186,-0.0106,0.0262
cf2,3.2000,-0.0213,-0.0090,0.0199
cf2,3.3000,-0.0207,-0.0069,0.0117
cf2,3.4000,-0.0162,-0.0041,0.0011
cf2,3.5000,-0.0070,0.0001,-0.0130
cf2,3.6000,0.0076,0.0068,-0.0321
cf2,3.7000,0.0281,0.0184,-0.0588
cf2,3.8000,0.0546,0.0387,-0.0966
cf2,3.9000,0.0000,-0.0000,0.0000
cf3,0.0000,-0.1202,-0.0727,0.0807
cf3,0.1000,-0.0754,-0.0403,0.0635
cf3,0.2000,-0.0370,-0.0220,0.0518
cf3,0.3000,-0.0056,-0.0109,0.0416
cf3,0.4000,0.0187,-0.0031,0.0307
cf3,0.5000,0.0361,0.0032,0.0183
cf3,0.6000,0.0468,0.0088,0.0045
cf3,0.7000,0.0513,0.0140,-0.0101
cf3,0.8000,0.0503,0.0187,-0.0245
cf3,0.9000,0.0446,0.0229,-0.0379
cf3,1.0000,0.0351,0.0262,-0.0495
cf3,1.1000,0.0231,0.0286,-0.0587
cf3,1.2000,0.0101,0.0301,-0.0655
cf3,1.3000,-0.0023,0.0305,-0.0699
cf3,1.4000,-0.0121,0.0302,-0.0726
cf3,1.5000,-0.0169,0.0294,-0.0739
cf3,1.6000,-0.0142,0.0281,-0.0743
cf3,1.7000,-0.0006,0.0262,-0.0733
cf3,1.8000,0.0276,0.0231,-0.0688
