drone_id,t,u1,u2,u3
cf1,0.0000,-0.1500,-0.0736,-0.1380
cf1,0.1000,-0.1064,-0.0027,-0.0671
cf1,0.2000,0.0000,-0.0008,-0.0939
cf1,0.3000,0.0000,-0.0011,-0.1449
cf1,0.4000,0.0574,0.0007,-0.1490
cf1,0.5000,0.1500,0.0057,-0.0709
cf1,0.6000,0.1500,0.0108,0.0163
cf1,0.7000,0.1500,0.0159,0.1128
cf1,0.8000,0.1500,0.0210,0.2308
cf1,0.9000,0.1500,0.0260,0.3575
cf1,1.0000,-0.0574,0.0243,0.3180
cf1,1.1000,-0.1500,0.0195,0.2007
cf1,1.2000,-0.1500,0.0146,0.0962
cf1,1.3000,-0.1500,0.0094,0.0021
cf1,1.4000,-0.1500,0.0040,-0.0938
cf1,1.5000,-0.1500,-0.0013,-0.1811
cf1,1.6000,-0.0000,-0.0012,-0.1268
cf1,1.7000,-0.0000,-0.0008,-0.0649
cf1,1.8000,0.0000,-0.0005,-0.0118
cf1,1.9000,-0.0000,-0.0001,0.0385
cf1,2.0000,0.0000,0.0002,0.0923
cf1,2.1000,0.0000,0.0005,0.1377
cf1,2.2000,0.1500,-0.0033,0.0682
cf1,2.3000,0.1500,-0.0072,-0.0111
cf1,2.4000,0.1500,-0.0109,-0.0870
cf1,2.5000,0.1500,-0.0144,-0.1666
cf1,2.6000,0.1215,-0.0171,-0.2287
cf1,2.7000,-0.0009,-0.0167,-0.2138
cf1,2.8000,-0.0735,-0.0147,-0.1573
cf1,2.9000,-0.1153,-0.0117,-0.0869
cf1,3.0000,-0.1302,-0.0084,-0.0209
cf1,3.1000,-0.1239,-0.0054,0.0303
cf1,3.2000,-0.1042,-0.0029,0.0628
cf1,3.3000,-0.0790,-0.0011,0.0776
cf1,3.4000,-0.0543,0.0001,0.0787
cf1,3.5000,-0.0324,0.0007,0.0678
cf1,3.6000,-0.0039,0.0006,0.0367
cf1,3.7000,0.1015,-0.0006,-0.0280
cf1,3.8000,0.1500,0.0424,0.1169
cf1,3.9000,0.0000,0.0000,-0.0000
cf2,0.0000,-0.1500,-0.1823,0.1695
cf2,0.1000,-0.0735,-0.0033,0.0429
cf2,0.2000,0.0740,0.0084,0.0053
cf2,0.3000,0.0868,0.0160,-0.0189
cf2,0.4000,0.0735,0.0224,-0.0349
cf2,0.5000,0.0553,0.0271,-0.0439
cf2,0.6000,0.0367,0.0302,-0.0476
cf2,0.7000,0.0190,0.0318,-0.0477
cf2,0.8000,0.0023,0.0319,-0.0451
cf2,0.9000,-0.0135,0.0307,-0.0397
cf2,1.0000,-0.0286,0.0282,-0.0306
cf2,1.1000,-0.0426,0.0243,-0.0167
cf2,1.2000,-0.0541,0.0195,0.0024
cf2,1.3000,-0.0591,0.0141,0.0224
cf2,1.4000,-0.0418,0.0106,0.0227
cf2,1.5000,0.0845,0.0135,-0.0463
cf2,1.6000,0.0638,0.0157,-0.1169
cf2,1.7000,0.0533,0.0185,-0.1448
cf2,1.8000,0.1500,-0.0032,0.1067
cf2,1.9000,-0.1221,-0.0142,0.1395
cf2,2.0000,-0.0840,-0.0115,0.0817
cf2,2.1000,-0.0819,-0.0096,0.0249
cf2,2.2000,-0.0550,-0.0086,-0.0104
cf2,2.3000,0.0171,-0.0113,-0.0127
cf2,2.4000,0.0365,-0.0135,-0.0039
cf2,2.5000,0.0324,-0.0154,0.0040
cf2,2.6000,0.0248,-0.0167,0.0087
cf2,2.7000,0.0176,-0.0176,0.0108
cf2,2.8000,0.0114,-0.0180,0.0115
cf2,2.9000,0.0062,-0.0182,0.0119
cf2,3.0000,0.0018,-0.0181,0.0125
cf2,3.1000,-0.0024,-0.0178,0.0138
cf2,3.2000,-0.0069,-0.0173,0.0160
cf2,3.3000,-0.0122,-0.0166,0.0192
cf2,3.4000,-0.0190,-0.0154,0.0232
cf2,3.5000,-0.0276,-0.0138,0.0275
cf2,3.6000,-0.0356,-0.0116,0.0290
cf2,3.7000,-0.0268,-0.0063,0.0088
cf2,3.8000,0.0893,0.1175,-0.1545
cf2,3.9000,-0.0000,-0.0000,0.0001
cf3,0.0000,-0.1500,-0.3827,0.0359
cf3,0.1000,-0.1064,-0.0139,0.0176
cf3,0.2000,0.0000,-0.0043,0.0248
cf3,0.3000,0.0000,-0.0057,0.0395
cf3,0.4000,0.0220,-0.0011,0.0465
cf3,0.5000,0.1500,0.0351,0.0155
cf3,0.6000,0.1500,0.0727,-0.0210
cf3,0.7000,0.1500,0.1109,-0.0611
cf3,0.8000,0.1500,0.1486,-0.1018
cf3,0.9000,-0.0220,0.1438,-0.0963
cf3,1.0000,-0.1500,0.1064,-0.0548
cf3,1.1000,-0.1500,0.0680,-0.0135
cf3,1.2000,-0.1500,0.0293,0.0272
cf3,1.3000,-0.1500,-0.0087,0.0648
cf3,1.4000,-0.0000,-0.0084,0.0596
cf3,1.5000,0.0013,-0.0065,0.0535
cf3,1.6000,0.0182,0.0004,0.0435
cf3,1.7000,0.0931,0.0266,0.0060
cf3,1.8000,0.1500,0.0325,-0.0549
cf3,1.9000,0.0744,-0.0192,-0.0977
cf3,2.0000,0.0767,-0.0247,-0.1355
