drone_id,t,x,y,z,yaw
cf1,0.0000,0.5000,0.0000,0.5000,0.0000
cf1,0.1000,0.4744,0.0000,0.5000,0.0000
cf1,0.2000,0.4542,0.0000,0.5000,0.0000
cf1,0.3000,0.4364,0.0001,0.4997,0.0000
cf1,0.4000,0.4184,0.0003,0.4991,0.0000
cf1,0.5000,0.3982,0.0008,0.4977,0.0000
cf1,0.6000,0.3745,0.0015,0.4954,0.0000
cf1,0.7000,0.3466,0.0025,0.4918,0.0000
cf1,0.8000,0.3146,0.0040,0.4868,0.0000
cf1,0.9000,0.2787,0.0058,0.4805,0.0000
cf1,1.0000,0.2396,0.0079,0.4730,0.0000
cf1,1.1000,0.1982,0.0102,0.4649,0.0000
cf1,1.2000,0.1556,0.0127,0.4566,0.0000
cf1,1.3000,0.1126,0.0150,0.4488,0.0000
cf1,1.4000,0.0701,0.0171,0.4420,0.0000
cf1,1.5000,0.0286,0.0190,0.4366,0.0000
cf1,1.6000,-0.0118,0.0205,0.4328,0.0000
cf1,1.7000,-0.0515,0.0216,0.4306,0.0000
cf1,1.8000,-0.0873,0.0223,0.4299,0.0000
cf1,1.9000,-0.1182,0.0226,0.4304,0.0000
cf1,2.0000,-0.1423,0.0226,0.4314,0.0000
cf1,2.1000,-0.1606,0.0225,0.4326,0.0000
cf1,2.2000,-0.1749,0.0223,0.4338,0.0000
cf1,2.3000,-0.1879,0.0220,0.4351,0.0000
cf1,2.4000,-0.2010,0.0217,0.4365,0.0000
cf1,2.5000,-0.2152,0.0213,0.4382,0.0000
cf1,2.6000,-0.2312,0.0207,0.4401,0.0000
cf1,2.7000,-0.2490,0.0201,0.4424,0.0000
cf1,2.8000,-0.2684,0.0193,0.4449,0.0000
cf1,2.9000,-0.2893,0.0185,0.4475,0.0000
cf1,3.0000,-0.3112,0.0176,0.4503,0.0000
cf1,3.1000,-0.3337,0.0166,0.4530,0.0000
cf1,3.2000,-0.3562,0.0157,0.4556,0.0000
cf1,3.3000,-0.3784,0.0149,0.4579,0.0000
cf1,3.4000,-0.4000,0.0141,0.4599,0.0000
cf1,3.5000,-0.4209,0.0135,0.4615,0.0000
cf1,3.6000,-0.4410,0.0129,0.4628,0.0000
cf1,3.7000,-0.4609,0.0125,0.4637,0.0000
cf1,3.8000,-0.4813,0.0121,0.4642,0.0000
cf1,3.9000,-0.5033,0.0118,0.4645,0.0000
cf2,0.0000,-0.5000,-0.0000,0.5000,0.0000
cf2,0.1000,-0.4744,-0.0000,0.5000,0.0000
cf2,0.2000,-0.4637,-0.0000,0.5000,0.0000
cf2,0.3000,-0.4637,0.0000,0.5000,0.0000
cf2,0.4000,-0.4637,0.0000,0.5000,0.0000
