drone_id,t,x,y,z,yaw
cf1,0.0000,0.5000,-0.0000,0.5000,0.0000
cf1,0.1000,0.4744,0.0000,0.5000,0.0000
cf1,0.2000,0.4597,0.0000,0.5000,0.0000
cf1,0.3000,0.4507,0.0001,0.4999,0.0000
cf1,0.4000,0.4427,0.0002,0.4995,0.0000
cf1,0.5000,0.4321,0.0005,0.4986,0.0000
cf1,0.6000,0.4166,0.0011,0.4968,0.0000
cf1,0.7000,0.3948,0.0022,0.4933,0.0000
cf1,0.8000,0.3664,0.0039,0.4876,0.0000
cf1,0.9000,0.3320,0.0063,0.4796,0.0000
cf1,1.0000,0.2927,0.0093,0.4695,0.0000
cf1,1.1000,0.2499,0.0127,0.4579,0.0000
cf1,1.2000,0.2055,0.0162,0.4458,0.0000
cf1,1.3000,0.1607,0.0196,0.4342,0.0000
cf1,1.4000,0.1167,0.0228,0.4240,0.0000
cf1,1.5000,0.0740,0.0255,0.4156,0.0000
cf1,1.6000,0.0319,0.0277,0.4094,0.0000
cf1,1.7000,-0.0118,0.0295,0.4052,0.0000
cf1,1.8000,-0.0522,0.0306,0.4034,0.0000
cf1,1.9000,-0.0881,0.0311,0.4036,0.0000
cf1,2.0000,-0.1169,0.0311,0.4050,0.0000
cf1,2.1000,-0.1377,0.0309,0.4067,0.0000
cf1,2.2000,-0.1548,0.0306,0.4087,0.0000
cf1,2.3000,-0.1713,0.0301,0.4109,0.0000
cf1,2.4000,-0.1887,0.0295,0.4136,0.0000
cf1,2.5000,-0.2079,0.0287,0.4169,0.0000
cf1,2.6000,-0.2293,0.0276,0.4207,0.0000
cf1,2.7000,-0.2527,0.0264,0.4250,0.0000
cf1,2.8000,-0.2775,0.0250,0.4296,0.0000
cf1,2.9000,-0.3031,0.0235,0.4343,0.0000
cf1,3.0000,-0.3288,0.0220,0.4389,0.0000
cf1,3.1000,-0.3539,0.0206,0.4431,0.0000
cf1,3.2000,-0.3777,0.0193,0.4467,0.0000
cf1,3.3000,-0.3997,0.0181,0.4498,0.0000
cf1,3.4000,-0.4197,0.0172,0.4521,0.0000
cf1,3.5000,-0.4376,0.0165,0.4539,0.0000
cf1,3.6000,-0.4540,0.0159,0.4551,0.0000
cf1,3.7000,-0.4697,0.0154,0.4559,0.0000
cf1,3.8000,-0.4862,0.0150,0.4565,0.0000
cf1,3.9000,-0.5055,0.0147,0.4568,0.0000
cf2,0.0000,-0.5000,-0.0000,0.5000,0.0000
cf2,0.1000,-0.4744,-0.0000,0.5000,0.0000
cf2,0.2000,-0.4597,0.0000,0.5000,0.0000
cf2,0.3000,-0.4507,-0.0001,0.5001,0.0000
cf2,0.4000,-0.4427,-0.0002,0.5005,0.0000
