drone_id,t,x,y,z,yaw
cf1,0.0000,0.5000,0.0000,0.5000,0.0000
cf1,0.1000,0.4744,0.0000,0.5000,0.0000
cf1,0.2000,0.4637,0.0000,0.5000,0.0000
cf1,0.3000,0.4637,-0.0000,0.5000,0.0000
cf1,0.4000,0.4637,-0.0000,0.5000,0.0000
cf1,0.5000,0.4637,-0.0000,0.5000,0.0000
cf1,0.6000,0.4580,0.0002,0.4994,0.0000
cf1,0.7000,0.4376,0.0010,0.4959,0.0000
cf1,0.8000,0.4028,0.0025,0.4876,0.0000
cf1,0.9000,0.3544,0.0050,0.4727,0.0000
cf1,1.0000,0.2928,0.0085,0.4500,0.0000
cf1,1.1000,0.2180,0.0129,0.4198,0.0000
cf1,1.2000,0.1484,0.0169,0.3922,0.0000
cf1,1.3000,0.0919,0.0201,0.3722,0.0000
cf1,1.4000,0.0488,0.0223,0.3596,0.0000
cf1,1.5000,0.0195,0.0236,0.3532,0.0000
cf1,1.6000,0.0047,0.0241,0.3510,0.0000
cf1,1.7000,0.0047,0.0241,0.3510,0.0000
cf1,1.8000,0.0047,0.0241,0.3510,0.0000
cf1,1.9000,0.0047,0.0241,0.3510,0.0000
cf1,2.0000,0.0047,0.0241,0.3510,0.0000
cf1,2.1000,0.0047,0.0241,0.3510,0.0000
cf1,2.2000,0.0047,0.0241,0.3510,0.0000
cf1,2.3000,0.0047,0.0241,0.3510,0.0000
cf1,2.4000,-0.0102,0.0239,0.3527,0.0000
cf1,2.5000,-0.0398,0.0231,0.3578,0.0000
cf1,2.6000,-0.0836,0.0217,0.3676,0.0000
cf1,2.7000,-0.1415,0.0196,0.3833,0.0000
cf1,2.8000,-0.2106,0.0168,0.4040,0.0000
cf1,2.9000,-0.2795,0.0140,0.4249,0.0000
cf1,3.0000,-0.3417,0.0113,0.4425,0.0000
cf1,3.1000,-0.3932,0.0092,0.4553,0.0000
cf1,3.2000,-0.4325,0.0078,0.4634,0.0000
cf1,3.3000,-0.4600,0.0068,0.4677,0.0000
cf1,3.4000,-0.4772,0.0063,0.4697,0.0000
cf1,3.5000,-0.4866,0.0060,0.4704,0.0000
cf1,3.6000,-0.4906,0.0059,0.4706,0.0000
cf1,3.7000,-0.4914,0.0059,0.4707,0.0000
cf1,3.8000,-0.4917,0.0059,0.4707,0.0000
cf1,3.9000,-0.5023,0.0058,0.4708,0.0000
cf2,0.0000,-0.5000,0.0000,0.5000,0.0000
cf2,0.1000,-0.4744,0.0000,0.5000,0.0000
cf2,0.2000,-0.4637,0.0000,0.5000,0.0000
cf2,0.3000,-0.4604,-0.0001,0.5001,0.0000
cf2,0.4000,-0.4498,-0.0005,0.5005,0.0000
