drone_id,t,x,y,z,yaw
cf1,0.0000,-1.5000,-0.0000,0.5000,0.0000
cf1,0.1000,-1.4551,-0.0000,0.5000,0.0000
cf1,0.2000,-1.3953,-0.0000,0.5000,0.0000
cf1,0.3000,-1.3205,0.0000,0.4968,0.0000
cf1,0.4000,-1.2310,0.0000,0.4882,0.0000
cf1,0.5000,-1.1271,0.0000,0.4737,0.0000
cf1,0.6000,-1.0089,0.0000,0.4540,0.0000
cf1,0.7000,-0.8804,0.0000,0.4323,0.0000
cf1,0.8000,-0.7540,0.0000,0.4132,0.0000
cf1,0.9000,-0.6420,0.0000,0.4004,-0.0000
cf1,1.0000,-0.5444,0.0000,0.3941,-0.0000
cf1,1.1000,-0.4600,0.0000,0.3927,-0.0000
cf1,1.2000,-0.3794,0.0000,0.3944,0.0000
cf1,1.3000,-0.2987,0.0000,0.3983,0.0000
cf1,1.4000,-0.2164,0.0000,0.4035,0.0000
cf1,1.5000,-0.1325,0.0000,0.4095,0.0000
cf1,1.6000,-0.0470,0.0000,0.4159,0.0000
cf1,1.7000,0.0395,0.0000,0.4222,0.0000
cf1,1.8000,0.1268,0.0000,0.4283,0.0000
cf1,1.9000,0.2146,0.0000,0.4340,0.0000
cf1,2.0000,0.3028,0.0000,0.4393,0.0000
cf1,2.1000,0.3913,0.0000,0.4442,0.0000
cf1,2.2000,0.4799,0.0000,0.4487,0.0000
cf1,2.3000,0.5687,0.0000,0.4528,0.0000
cf1,2.4000,0.6576,0.0000,0.4565,0.0000
cf1,2.5000,0.7464,0.0000,0.4599,0.0000
cf1,2.6000,0.8353,0.0000,0.4629,0.0000
cf1,2.7000,0.9240,0.0000,0.4656,0.0000
cf1,2.8000,1.0125,0.0000,0.4680,0.0000
cf1,2.9000,1.1007,0.0000,0.4702,0.0000
cf1,3.0000,1.1884,0.0000,0.4721,0.0000
cf1,3.1000,1.2753,0.0000,0.4738,0.0000
cf1,3.2000,1.3612,0.0000,0.4752,0.0000
cf1,3.3000,1.4454,0.0000,0.4764,0.0000
cf1,3.4000,1.5274,0.0000,0.4774,-0.0000
cf1,3.5000,1.6064,0.0000,0.4782,-0.0000
cf1,3.6000,1.6813,0.0000,0.4787,-0.0000
cf1,3.7000,1.7507,0.0000,0.4791,-0.0000
cf1,3.8000,1.8132,0.0000,0.4793,-0.0000
cf1,3.9000,1.8674,0.0000,0.4793,-0.0000
cf2,0.0000,-2.0000,-0.0000,0.5000,0.0000
cf2,0.1000,-1.8462,-0.0000,0.5000,0.0000
cf2,0.2000,-1.7073,-0.0000,0.5000,-0.0000
cf2,0.3000,-1.5786,-0.0000,0.5048,-0.0000
cf2,0.4000,-1.4527,-0.0000,0.5143,-0.0000
cf2,0.5000,-1.3251,-0.0000,0.5276,-0.0000
cf2,0.6000,-1.1876,-0.0000,0.5438,-0.0000
cf2,0.7000,-1.0351,-0.0000,0.5614,-0.0000
cf2,0.8000,-0.8734,-0.0000,0.5775,-0.0000
cf2,0.9000,-0.7087,-0.0000,0.5889,0.0000
cf2,1.0000,-0.5359,-0.0000,0.5939,0.0000
cf2,1.1000,-0.3640,-0.0000,0.5921,0.0000
cf2,1.2000,-0.1945,-0.0000,0.5858,0.0000
cf2,1.3000,-0.0280,-0.0000,0.5772,0.0000
cf2,1.4000,0.1359,-0.0000,0.5678,0.0000
cf2,1.5000,0.2977,-0.0000,0.5585,0.0000
cf2,1.6000,0.4581,-0.0000,0.5499,0.0000
cf2,1.7000,0.6176,-0.0000,0.5423,0.0000
cf2,1.8000,0.7766,-0.0000,0.5355,0.0000
cf2,1.9000,0.9353,-0.0000,0.5297,0.0000
cf2,2.0000,1.0932,-0.0000,0.5247,0.0000
cf2,2.1000,1.2485,-0.0000,0.5205,0.0000
cf2,2.2000,1.3962,-0.0000,0.5172,0.0000
cf2,2.3000,1.5290,-0.0000,0.5148,0.0000
cf2,2.4000,1.6467,-0.0000,0.5130,0.0000
cf2,2.5000,1.7495,-0.0000,0.5118,0.0000
cf2,2.6000,1.8373,-0.0000,0.5110,0.0000
cf2,2.7000,1.9101,-0.0000,0.5105,0.0000
cf2,2.8000,1.9679,-0.0000,0.5102,0.0000
cf2,2.9000,2.0106,-0.0000,0.5100,0.0000
cf2,3.0000,2.0384,-0.0000,0.5100,0.0000
cf2,3.1000,2.0512,-0.0000,0.5099,0.0000
cf2,3.2000,2.0512,-0.0000,0.5099,0.0000
cf2,3.3000,2.0512,-0.0000,0.5099,0.0000
cf2,3.4000,2.0512,-0.0000,0.5099,0.0000
cf2,3.5000,2.0512,-0.0000,0.5099,0.0000
cf2,3.6000,2.0515,-0.0000,0.5099,0.0000
cf2,3.7000,2.0542,-0.0000,0.5099,0.0000
cf2,3.8000,2.0594,-0.0000,0.5099,0.0000
cf2,3.9000,2.0651,-0.0000,0.5099,0.0000
cf3,0.0000,-1.8000,0.3000,0.5000,-0.0000
cf3,0.1000,-1.7026,0.3000,0.5000,0.0000
cf3,0.2000,-1.6051,0.3000,0.5000,-0.0000
cf3,0.3000,-1.5077,0.3000,0.5000,0.0000
cf3,0.4000,-1.4103,0.3000,0.5000,0.0000
cf3,0.5000,-1.3128,0.3000,0.5000,0.0000
cf3,0.6000,-1.2154,0.3000,0.5000,-0.0000
cf3,0.7000,-1.1180,0.3000,0.5000,-0.0000
cf3,0.8000,-1.0205,0.3000,0.5000,-0.0000
cf3,0.9000,-0.9231,0.3000,0.5000,-0.0000
cf3,1.0000,-0.8257,0.3000,0.5000,-0.0000
cf3,1.1000,-0.7282,0.3000,0.5000,-0.0000
cf3,1.2000,-0.6308,0.3000,0.5000,-0.0000
cf3,1.3000,-0.5333,0.3000,0.5000,-0.0000
cf3,1.4000,-0.4359,0.3000,0.5000,-0.0000
cf3,1.5000,-0.3385,0.3000,0.5000,-0.0000
cf3,1.6000,-0.2410,0.3000,0.5000,-0.0000
cf3,1.7000,-0.1436,0.3000,0.5000,-0.0000
cf3,1.8000,-0.0462,0.3000,0.5000,0.0000
cf3,1.9000,0.0513,0.3000,0.5000,0.0000
cf3,2.0000,0.1487,0.3000,0.5000,0.0000
cf3,2.1000,0.2461,0.3000,0.5000,0.0000
cf3,2.2000,0.3436,0.3000,0.5000,0.0000
cf3,2.3000,0.4410,0.3000,0.5000,0.0000
cf3,2.4000,0.5385,0.3000,0.5000,0.0000
cf3,2.5000,0.6359,0.3000,0.5000,0.0000
cf3,2.6000,0.7333,0.3000,0.5000,0.0000
cf3,2.7000,0.8308,0.3000,0.5000,0.0000
cf3,2.8000,0.9282,0.3000,0.5000,0.0000
cf3,2.9000,1.0256,0.3000,0.5000,-0.0000
cf3,3.0000,1.1231,0.3000,0.5000,-0.0000
cf3,3.1000,1.2205,0.3000,0.5000,-0.0000
cf3,3.2000,1.3180,0.3000,0.5000,-0.0000
cf3,3.3000,1.4154,0.3000,0.5000,-0.0000
cf3,3.4000,1.5128,0.3000,0.5000,-0.0000
cf3,3.5000,1.6103,0.3000,0.5000,-0.0000
cf3,3.6000,1.7077,0.3000,0.5000,-0.0000
cf3,3.7000,1.8051,0.3000,0.5000,0.0000
cf3,3.8000,1.9026,0.3000,0.5000,0.0000
cf3,3.9000,2.0000,0.3000,0.5000,0.0000
cf4,0.0000,-1.8000,-0.3000,0.5000,-0.0000
cf4,0.1000,-1.7026,-0.3000,0.5000,0.0000
cf4,0.2000,-1.6051,-0.3000,0.5000,0.0000
cf4,0.3000,-1.5077,-0.3000,0.5000,-0.0000
cf4,0.4000,-1.4103,-0.3000,0.5000,-0.0000
cf4,0.5000,-1.3128,-0.3000,0.5000,-0.0000
cf4,0.6000,-1.2154,-0.3000,0.5000,0.0000
cf4,0.7000,-1.1180,-0.3000,0.5000,0.0000
cf4,0.8000,-1.0205,-0.3000,0.5000,0.0000
cf4,0.9000,-0.9231,-0.3000,0.5000,0.0000
cf4,1.0000,-0.8257,-0.3000,0.5000,0.0000
cf4,1.1000,-0.7282,-0.3000,0.5000,0.0000
