drone_id,t,x,y,z,yaw
cf1,0.0000,-2.0000,-0.4000,0.5000,0.0000
cf1,0.1000,-1.8974,-0.4000,0.5000,0.0000
cf1,0.2000,-1.7949,-0.4000,0.5000,-0.0000
cf1,0.3000,-1.6923,-0.4000,0.5000,-0.0000
cf1,0.4000,-1.5897,-0.4000,0.5000,-0.0000
cf1,0.5000,-1.4872,-0.4000,0.5000,-0.0000
cf1,0.6000,-1.3846,-0.4000,0.5000,-0.0000
cf1,0.7000,-1.2821,-0.4000,0.5000,-0.0000
cf1,0.8000,-1.1795,-0.4000,0.5000,-0.0000
cf1,0.9000,-1.0769,-0.4000,0.5000,-0.0000
cf1,1.0000,-0.9744,-0.4000,0.5000,-0.0000
cf1,1.1000,-0.8718,-0.4000,0.5000,-0.0000
cf1,1.2000,-0.7692,-0.4000,0.5000,-0.0000
cf1,1.3000,-0.6667,-0.4000,0.5000,-0.0000
cf1,1.4000,-0.5641,-0.4000,0.5000,-0.0000
cf1,1.5000,-0.4615,-0.4000,0.5000,-0.0000
cf1,1.6000,-0.3590,-0.4000,0.5000,0.0000
cf1,1.7000,-0.2564,-0.4000,0.5000,0.0000
cf1,1.8000,-0.1538,-0.4000,0.5000,0.0000
cf1,1.9000,-0.0513,-0.4000,0.5000,0.0000
cf1,2.0000,0.0513,-0.4000,0.5000,0.0000
cf1,2.1000,0.1538,-0.4000,0.5000,-0.0000
cf1,2.2000,0.2564,-0.4000,0.5000,0.0000
cf1,2.3000,0.3590,-0.4000,0.5000,0.0000
cf1,2.4000,0.4615,-0.4000,0.5000,0.0000
cf1,2.5000,0.5641,-0.4000,0.5000,0.0000
cf1,2.6000,0.6667,-0.4000,0.5000,0.0000
cf1,2.7000,0.7692,-0.4000,0.5000,0.0000
cf1,2.8000,0.8718,-0.4000,0.5000,0.0000
cf1,2.9000,0.9744,-0.4000,0.5000,0.0000
cf1,3.0000,1.0769,-0.4000,0.5000,0.0000
cf1,3.1000,1.1795,-0.4000,0.5000,0.0000
cf1,3.2000,1.2821,-0.4000,0.5000,0.0000
cf1,3.3000,1.3846,-0.4000,0.5000,0.0000
cf1,3.4000,1.4872,-0.4000,0.5000,0.0000
cf1,3.5000,1.5897,-0.4000,0.5000,-0.0000
cf1,3.6000,1.6923,-0.4000,0.5000,-0.0000
cf1,3.7000,1.7949,-0.4000,0.5000,-0.0000
cf1,3.8000,1.8974,-0.4000,0.5000,-0.0000
cf1,3.9000,2.0000,-0.4000,0.5000,-0.0000
cf2,0.0000,-2.0000,-0.1333,0.5000,-0.0000
cf2,0.1000,-1.8974,-0.1333,0.5000,-0.0000
cf2,0.2000,-1.7949,-0.1333,0.5000,-0.0000
cf2,0.3000,-1.6923,-0.1333,0.5000,-0.0000
cf2,0.4000,-1.5897,-0.1333,0.5000,-0.0000
cf2,0.5000,-1.4872,-0.1333,0.5000,-0.0000
cf2,0.6000,-1.3846,-0.1333,0.5000,-0.0000
cf2,0.7000,-1.2821,-0.1333,0.5000,-0.0000
cf2,0.8000,-1.1795,-0.1333,0.5000,0.0000
cf2,0.9000,-1.0769,-0.1333,0.5000,0.0000
cf2,1.0000,-0.9744,-0.1333,0.5000,0.0000
cf2,1.1000,-0.8718,-0.1333,0.5000,0.0000
cf2,1.2000,-0.7692,-0.1333,0.5000,0.0000
cf2,1.3000,-0.6667,-0.1333,0.5000,0.0000
cf2,1.4000,-0.5641,-0.1333,0.5000,-0.0000
cf2,1.5000,-0.4615,-0.1333,0.5000,-0.0000
cf2,1.6000,-0.3590,-0.1333,0.5000,-0.0000
cf2,1.7000,-0.2564,-0.1333,0.5000,-0.0000
cf2,1.8000,-0.1538,-0.1333,0.5000,0.0000
cf2,1.9000,-0.0513,-0.1333,0.5000,0.0000
cf2,2.0000,0.0513,-0.1333,0.5000,0.0000
cf2,2.1000,0.1538,-0.1333,0.5000,0.0000
cf2,2.2000,0.2564,-0.1333,0.5000,0.0000
cf2,2.3000,0.3590,-0.1333,0.5000,-0.0000
cf2,2.4000,0.4615,-0.1333,0.5000,0.0000
cf2,2.5000,0.5641,-0.1333,0.5000,0.0000
cf2,2.6000,0.6667,-0.1333,0.5000,0.0000
cf2,2.7000,0.7692,-0.1333,0.5000,0.0000
cf2,2.8000,0.8718,-0.1333,0.5000,0.0000
cf2,2.9000,0.9744,-0.1333,0.5000,0.0000
cf2,3.0000,1.0769,-0.1333,0.5000,0.0000
cf2,3.1000,1.1795,-0.1333,0.5000,0.0000
cf2,3.2000,1.2820,-0.1333,0.5000,0.0000
cf2,3.3000,1.3846,-0.1333,0.5000,0.0000
cf2,3.4000,1.4872,-0.1333,0.5000,-0.0000
cf2,3.5000,1.5897,-0.1333,0.5000,-0.0000
cf2,3.6000,1.6923,-0.1333,0.5000,-0.0000
cf2,3.7000,1.7949,-0.1333,0.5000,-0.0000
cf2,3.8000,1.8974,-0.1333,0.5000,-0.0000
cf2,3.9000,2.0000,-0.1333,0.5000,-0.0000
cf3,0.0000,-2.0000,0.1333,0.5000,0.0000
cf3,0.1000,-1.8974,0.1333,0.5000,0.0000
cf3,0.2000,-1.7949,0.1333,0.5000,0.0000
cf3,0.3000,-1.6923,0.1333,0.5000,0.0000
cf3,0.4000,-1.5897,0.1333,0.5000,0.0000
cf3,0.5000,-1.4872,0.1333,0.5000,0.0000
cf3,0.6000,-1.3846,0.1333,0.5000,0.0000
cf3,0.7000,-1.2821,0.1333,0.5000,-0.0000
cf3,0.8000,-1.1795,0.1333,0.5000,-0.0000
cf3,0.9000,-1.0769,0.1333,0.5000,0.0000
cf3,1.0000,-0.9744,0.1333,0.5000,0.0000
cf3,1.1000,-0.8718,0.1333,0.5000,0.0000
cf3,1.2000,-0.7692,0.1333,0.5000,0.0000
cf3,1.3000,-0.6667,0.1333,0.5000,0.0000
cf3,1.4000,-0.5641,0.1333,0.5000,0.0000
cf3,1.5000,-0.4615,0.1333,0.5000,-0.0000
cf3,1.6000,-0.3590,0.1333,0.5000,-0.0000
cf3,1.7000,-0.2564,0.1333,0.5000,0.0000
cf3,1.8000,-0.1538,0.1333,0.5000,-0.0000
cf3,1.9000,-0.0513,0.1333,0.5000,0.0000
cf3,2.0000,0.0513,0.1333,0.5000,0.0000
cf3,2.1000,0.1538,0.1333,0.5000,0.0000
cf3,2.2000,0.2564,0.1333,0.5000,0.0000
cf3,2.3000,0.3590,0.1333,0.5000,0.0000
cf3,2.4000,0.4615,0.1333,0.5000,-0.0000
cf3,2.5000,0.5641,0.1333,0.5000,-0.0000
cf3,2.6000,0.6667,0.1333,0.5000,0.0000
cf3,2.7000,0.7692,0.1333,0.5000,0.0000
cf3,2.8000,0.8718,0.1333,0.5000,0.0000
cf3,2.9000,0.9744,0.1333,0.5000,0.0000
cf3,3.0000,1.0769,0.1333,0.5000,-0.0000
cf3,3.1000,1.1795,0.1333,0.5000,-0.0000
cf3,3.2000,1.2821,0.1333,0.5000,0.0000
cf3,3.3000,1.3846,0.1333,0.5000,-0.0000
cf3,3.4000,1.4872,0.1333,0.5000,-0.0000
cf3,3.5000,1.5897,0.1333,0.5000,-0.0000
cf3,3.6000,1.6923,0.1333,0.5000,-0.0000
cf3,3.7000,1.7949,0.1333,0.5000,-0.0000
cf3,3.8000,1.8974,0.1333,0.5000,-0.0000
cf3,3.9000,2.0000,0.1333,0.5000,0.0000
cf4,0.0000,-2.0000,0.4000,0.5000,-0.0000
cf4,0.1000,-1.8974,0.4000,0.5000,-0.0000
cf4,0.2000,-1.7949,0.4000,0.5000,-0.0000
cf4,0.3000,-1.6923,0.4000,0.5000,-0.0000
cf4,0.4000,-1.5897,0.4000,0.5000,-0.0000
cf4,0.5000,-1.4872,0.4000,0.5000,0.0000
cf4,0.6000,-1.3846,0.4000,0.5000,0.0000
cf4,0.7000,-1.2821,0.4000,0.5000,0.0000
cf4,0.8000,-1.1795,0.4000,0.5000,0.0000
cf4,0.9000,-1.0769,0.4000,0.5000,0.0000
cf4,1.0000,-0.9744,0.4000,0.5000,0.0000
cf4,1.1000,-0.8718,0.4000,0.5000,0.0000
cf4,1.2000,-0.7692,0.4000,0.5000,0.0000
cf4,1.3000,-0.6667,0.4000,0.5000,0.0000
cf4,1.4000,-0.5641,0.4000,0.5000,0.0000
cf4,1.5000,-0.4615,0.4000,0.5000,0.0000
cf4,1.6000,-0.3590,0.4000,0.5000,0.0000
cf4,1.7000,-0.2564,0.4000,0.5000,0.0000
cf4,1.8000,-0.1538,0.4000,0.5000,0.0000
cf4,1.9000,-0.0513,0.4000,0.5000,-0.0000
cf4,2.0000,0.0513,0.4000,0.5000,0.0000
cf4,2.1000,0.1538,0.4000,0.5000,-0.0000
cf4,2.2000,0.2564,0.4000,0.5000,-0.0000
cf4,2.3000,0.3590,0.4000,0.5000,-0.0000
cf4,2.4000,0.4615,0.4000,0.5000,-0.0000
cf4,2.5000,0.5641,0.4000,0.5000,-0.0000
cf4,2.6000,0.6667,0.4000,0.5000,-0.0000
cf4,2.7000,0.7692,0.4000,0.5000,-0.0000
cf4,2.8000,0.8718,0.4000,0.5000,-0.0000
cf4,2.9000,0.9744,0.4000,0.5000,-0.0000
cf4,3.0000,1.0769,0.4000,0.5000,-0.0000
cf4,3.1000,1.1795,0.4000,0.5000,-0.0000
cf4,3.2000,1.2821,0.4000,0.5000,-0.0000
