drone_id,t,x,y,z,yaw
cf1,0.0000,-2.0000,-0.4000,0.5000,0.0000
cf1,0.1000,-1.8974,-0.4000,0.5000,0.0000
cf1,0.2000,-1.7984,-0.4000,0.5000,0.0000
cf1,0.3000,-1.7005,-0.3978,0.5000,0.0000
cf1,0.4000,-1.6025,-0.3931,0.5000,0.0000
cf1,0.5000,-1.5041,-0.3860,0.5000,0.0000
cf1,0.6000,-1.4052,-0.3769,0.5000,0.0000
cf1,0.7000,-1.3063,-0.3659,0.5000,0.0000
cf1,0.8000,-1.2076,-0.3534,0.5000,0.0000
cf1,0.9000,-1.1095,-0.3397,0.5000,0.0000
cf1,1.0000,-1.0122,-0.3252,0.5000,0.0000
cf1,1.1000,-0.9161,-0.3100,0.5000,0.0000
cf1,1.2000,-0.8213,-0.2947,0.5000,0.0000
cf1,1.3000,-0.7274,-0.2795,0.5000,0.0000
cf1,1.4000,-0.6331,-0.2644,0.5000,0.0000
cf1,1.5000,-0.5372,-0.2496,0.5000,0.0000
cf1,1.6000,-0.4403,-0.2358,0.5000,0.0000
cf1,1.7000,-0.3430,-0.2235,0.5000,0.0000
cf1,1.8000,-0.2457,-0.2134,0.5000,0.0000
cf1,1.9000,-0.1486,-0.2061,0.5000,0.0000
cf1,2.0000,-0.0509,-0.2022,0.5000,0.0000
cf1,2.1000,0.0520,-0.2023,0.5000,0.0000
cf1,2.2000,0.1573,-0.2063,0.5000,0.0000
cf1,2.3000,0.2652,-0.2138,0.5000,0.0000
cf1,2.4000,0.3750,-0.2241,0.5000,0.0000
cf1,2.5000,0.4863,-0.2366,0.5000,0.0000
cf1,2.6000,0.5988,-0.2507,0.5000,0.0000
cf1,2.7000,0.7123,-0.2658,0.5000,0.0000
cf1,2.8000,0.8274,-0.2814,0.5000,0.0000
cf1,2.9000,0.9423,-0.2970,0.5000,0.0000
cf1,3.0000,1.0553,-0.3121,0.5000,0.0000
cf1,3.1000,1.1660,-0.3264,0.5000,0.0000
cf1,3.2000,1.2747,-0.3397,0.5000,0.0000
cf1,3.3000,1.3814,-0.3518,0.5000,0.0000
cf1,3.4000,1.4867,-0.3628,0.5000,0.0000
cf1,3.5000,1.5908,-0.3724,0.5000,0.0000
cf1,3.6000,1.6939,-0.3807,0.5000,0.0000
cf1,3.7000,1.7964,-0.3875,0.5000,0.0000
cf1,3.8000,1.8983,-0.3927,0.5000,0.0000
cf1,3.9000,2.0003,-0.3963,0.5000,0.0000
cf2,0.0000,-2.0000,-0.1333,0.5000,0.0000
cf2,0.1000,-1.8974,-0.1333,0.5000,0.0000
cf2,0.2000,-1.7946,-0.1333,0.5000,0.0000
cf2,0.3000,-1.6916,-0.1329,0.5000,0.0000
cf2,0.4000,-1.5882,-0.1319,0.5000,0.0000
cf2,0.5000,-1.4845,-0.1305,0.5000,0.0000
cf2,0.6000,-1.3803,-0.1286,0.5000,0.0000
cf2,0.7000,-1.2755,-0.1264,0.5000,0.0000
cf2,0.8000,-1.1699,-0.1239,0.5000,0.0000
cf2,0.9000,-1.0632,-0.1212,0.5000,0.0000
cf2,1.0000,-0.9552,-0.1183,0.5000,0.0000
cf2,1.1000,-0.8456,-0.1153,0.5000,0.0000
cf2,1.2000,-0.7346,-0.1122,0.5000,0.0000
cf2,1.3000,-0.6224,-0.1092,0.5000,0.0000
cf2,1.4000,-0.5104,-0.1064,0.5000,0.0000
cf2,1.5000,-0.4002,-0.1039,0.5000,0.0000
cf2,1.6000,-0.2919,-0.1018,0.5000,0.0000
cf2,1.7000,-0.1857,-0.1000,0.5000,0.0000
cf2,1.8000,-0.0819,-0.0987,0.5000,0.0000
cf2,1.9000,0.0196,-0.0978,0.5000,0.0000
cf2,2.0000,0.1202,-0.0972,0.5000,0.0000
cf2,2.1000,0.2220,-0.0970,0.5000,0.0000
cf2,2.2000,0.3249,-0.0971,0.5000,0.0000
cf2,2.3000,0.4280,-0.0976,0.5000,0.0000
cf2,2.4000,0.5307,-0.0985,0.5000,0.0000
cf2,2.5000,0.6322,-0.0998,0.5000,0.0000
cf2,2.6000,0.7319,-0.1015,0.5000,0.0000
cf2,2.7000,0.8292,-0.1034,0.5000,0.0000
cf2,2.8000,0.9229,-0.1057,0.5000,0.0000
cf2,2.9000,1.0154,-0.1081,0.5000,0.0000
cf2,3.0000,1.1086,-0.1107,0.5000,0.0000
cf2,3.1000,1.2032,-0.1135,0.5000,0.0000
cf2,3.2000,1.2995,-0.1163,0.5000,0.0000
cf2,3.3000,1.3972,-0.1192,0.5000,0.0000
cf2,3.4000,1.4960,-0.1219,0.5000,0.0000
cf2,3.5000,1.5957,-0.1245,0.5000,0.0000
cf2,3.6000,1.6961,-0.1268,0.5000,0.0000
cf2,3.7000,1.7970,-0.1288,0.5000,0.0000
cf2,3.8000,1.8983,-0.1303,0.5000,0.0000
cf2,3.9000,2.0001,-0.1315,0.5000,0.0000
cf3,0.0000,-2.0000,0.1333,0.5000,0.0000
cf3,0.1000,-1.8974,0.1333,0.5000,0.0000
cf3,0.2000,-1.7958,0.1333,0.5000,0.0000
cf3,0.3000,-1.6948,0.1327,0.5000,0.0000
cf3,0.4000,-1.5941,0.1314,0.5000,0.0000
cf3,0.5000,-1.4940,0.1296,0.5000,0.0000
cf3,0.6000,-1.3945,0.1272,0.5000,0.0000
cf3,0.7000,-1.2960,0.1246,0.5000,0.0000
cf3,0.8000,-1.1987,0.1216,0.5000,0.0000
cf3,0.9000,-1.1029,0.1186,0.5000,0.0000
cf3,1.0000,-1.0089,0.1155,0.5000,0.0000
cf3,1.1000,-0.9164,0.1124,0.5000,0.0000
cf3,1.2000,-0.8247,0.1095,0.5000,0.0000
cf3,1.3000,-0.7316,0.1067,0.5000,0.0000
cf3,1.4000,-0.6349,0.1042,0.5000,0.0000
cf3,1.5000,-0.5360,0.1018,0.5000,0.0000
cf3,1.6000,-0.4358,0.0999,0.5000,0.0000
cf3,1.7000,-0.3350,0.0982,0.5000,0.0000
cf3,1.8000,-0.2340,0.0970,0.5000,0.0000
cf3,1.9000,-0.1321,0.0962,0.5000,0.0000
cf3,2.0000,-0.0306,0.0957,0.5000,0.0000
cf3,2.1000,0.0724,0.0957,0.5000,0.0000
cf3,2.2000,0.1774,0.0961,0.5000,0.0000
cf3,2.3000,0.2843,0.0970,0.5000,0.0000
cf3,2.4000,0.3928,0.0983,0.5000,0.0000
cf3,2.5000,0.5025,0.1000,0.5000,0.0000
cf3,2.6000,0.6133,0.1022,0.5000,0.0000
cf3,2.7000,0.7250,0.1046,0.5000,0.0000
cf3,2.8000,0.8371,0.1074,0.5000,0.0000
cf3,2.9000,0.9481,0.1102,0.5000,0.0000
cf3,3.0000,1.0576,0.1132,0.5000,0.0000
cf3,3.1000,1.1656,0.1161,0.5000,0.0000
cf3,3.2000,1.2723,0.1189,0.5000,0.0000
cf3,3.3000,1.3779,0.1215,0.5000,0.0000
cf3,3.4000,1.4827,0.1240,0.5000,0.0000
cf3,3.5000,1.5869,0.1263,0.5000,0.0000
cf3,3.6000,1.6907,0.1282,0.5000,0.0000
cf3,3.7000,1.7940,0.1299,0.5000,0.0000
cf3,3.8000,1.8971,0.1312,0.5000,0.0000
cf3,3.9000,2.0000,0.1321,0.5000,0.0000
cf4,0.0000,-2.0000,0.4000,0.5000,0.0000
cf4,0.1000,-1.8974,0.4000,0.5000,0.0000
cf4,0.2000,-1.7972,0.4000,0.5000,0.0000
cf4,0.3000,-1.6973,0.3977,0.5000,0.0000
cf4,0.4000,-1.5964,0.3929,0.5000,0.0000
cf4,0.5000,-1.4941,0.3855,0.5000,0.0000
cf4,0.6000,-1.3903,0.3759,0.5000,0.0000
cf4,0.7000,-1.2846,0.3642,0.5000,0.0000
cf4,0.8000,-1.1770,0.3506,0.5000,0.0000
cf4,0.9000,-1.0672,0.3353,0.5000,0.0000
cf4,1.0000,-0.9551,0.3187,0.5000,0.0000
cf4,1.1000,-0.8407,0.3010,0.5000,0.0000
cf4,1.2000,-0.7247,0.2827,0.5000,0.0000
cf4,1.3000,-0.6090,0.2648,0.5000,0.0000
cf4,1.4000,-0.4958,0.2479,0.5000,0.0000
cf4,1.5000,-0.3847,0.2327,0.5000,0.0000
cf4,1.6000,-0.2757,0.2198,0.5000,0.0000
cf4,1.7000,-0.1690,0.2098,0.5000,0.0000
cf4,1.8000,-0.0647,0.2035,0.5000,0.0000
cf4,1.9000,0.0383,0.2012,0.5000,0.0000
cf4,2.0000,0.1382,0.2030,0.5000,0.0000
cf4,2.1000,0.2377,0.2083,0.5000,0.0000
cf4,2.2000,0.3373,0.2163,0.5000,0.0000
cf4,2.3000,0.4368,0.2264,0.5000,0.0000
cf4,2.4000,0.5358,0.2381,0.5000,0.0000
cf4,2.5000,0.6339,0.2509,0.5000,0.0000
cf4,2.6000,0.7306,0.2641,0.5000,0.0000
cf4,2.7000,0.8257,0.2775,0.5000,0.0000
cf4,2.8000,0.9196,0.2908,0.5000,0.0000
cf4,2.9000,1.0140,0.3040,0.5000,0.0000
cf4,3.0000,1.1095,0.3170,0.5000,0.0000
cf4,3.1000,1.2060,0.3296,0.5000,0.0000
cf4,3.2000,1.3035,0.3417,0.5000,0.0000
cf4,3.3000,1.4018,0.3530,0.5000,0.0000
cf4,3.4000,1.5008,0.3634,0.5000,0.0000
cf4,3.5000,1.6001,0.3726,0.5000,0.0000
