k,station_id,active_drone,battery_wh
0,0,cf1,160.00
0,1,cf2,158.00
0,2,cf3,162.00
0,3,cf4,155.00
1,0,cf1,150.00
1,1,cf2,146.00
1,2,cf3,154.00
1,3,cf4,140.00
2,0,cf1,140.00
2,1,cf2,134.00
2,2,cf3,146.00
2,3,cf4,125.00
3,0,cf1,130.00
3,1,cf2,122.00
3,2,cf3,138.00
3,3,cf4,110.00
4,0,cf1,120.00
4,1,cf2,110.00
4,2,cf3,130.00
4,3,cf4,95.00
5,0,cf1,110.00
5,1,cf2,98.00
5,2,cf3,122.00
5,3,cf4,80.00
6,0,cf1,100.00
6,1,cf2,86.00
6,2,cf3,114.00
6,3,cf4,65.00
7,0,cf1,90.00
7,1,cf2,74.00
7,2,cf3,106.00
7,3,cf4,50.00
8,0,cf1,80.00
8,1,cf2,62.00
8,2,cf3,98.00
8,3,cf8,170.00
9,0,cf1,70.00
9,1,cf2,50.00
9,2,cf3,90.00
9,3,cf8,155.00
10,0,cf1,60.00
10,1,cf6,170.00
10,2,cf3,82.00
10,3,cf8,140.00
11,0,cf1,50.00
11,1,cf6,158.00
11,2,cf3,74.00
11,3,cf8,125.00
12,0,cf5,170.00
12,1,cf6,146.00
12,2,cf3,66.00
12,3,cf8,110.00
13,0,cf5,160.00
13,1,cf6,134.00
13,2,cf3,58.00
13,3,cf8,95.00
14,0,cf5,150.00
14,1,cf6,122.00
14,2,cf3,50.00
14,3,cf8,80.00
15,0,cf5,140.00
15,1,cf6,110.00
15,2,cf7,170.00
15,3,cf8,65.00
16,0,cf5,130.00
16,1,cf6,98.00
16,2,cf7,162.00
16,3,cf8,50.00
17,0,cf5,120.00
17,1,cf6,86.00
17,2,cf7,154.00
17,3,cf4,170.00
18,0,cf5,110.00
18,1,cf6,74.00
18,2,cf7,146.00
18,3,cf4,155.00
19,0,cf5,100.00
19,1,cf6,62.00
19,2,cf7,138.00
19,3,cf4,140.00
