k,b_k,G_tilde,eta_k,r_drift,gamma,x_before_0,x_after_0,a_0,x_before_1,x_after_1,a_1,x_before_2,x_after_2,a_2,x_before_3,x_after_3,a_3
0,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
1,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
2,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
3,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
4,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
5,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
6,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
7,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
8,0,15.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,0.383619,0
9,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
10,0,12.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,0.506896,0,1.000000,1.000000,1,1.000000,1.000000,1
11,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
12,0,10.000000,48.671233,43.804109,0.00228289,1.000000,0.589080,0,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
13,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
14,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
15,0,8.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,0.671264,0,1.000000,1.000000,1
16,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
17,0,15.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,0.383619,0
18,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
19,1,0.000000,48.671233,43.804109,0.00228289,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
