k,station_id,active_drone,battery_wh
0,0,cf1,99.90
0,1,cf2,99.88
0,2,cf3,99.92
0,3,cf4,99.85
1,0,cf1,99.80
1,1,cf2,99.76
1,2,cf3,99.84
1,3,cf4,99.70
2,0,cf1,99.70
2,1,cf2,99.64
2,2,cf3,99.76
2,3,cf4,99.55
3,0,cf1,99.60
3,1,cf2,99.52
3,2,cf3,99.68
3,3,cf4,99.40
4,0,cf1,99.50
4,1,cf2,99.40
4,2,cf3,99.60
4,3,cf4,99.25
5,0,cf1,99.40
5,1,cf2,99.28
5,2,cf3,99.52
5,3,cf4,99.10
6,0,cf1,99.30
6,1,cf2,99.16
6,2,cf3,99.44
6,3,cf4,98.95
7,0,cf1,99.20
7,1,cf2,99.04
7,2,cf3,99.36
7,3,cf4,98.80
8,0,cf1,99.10
8,1,cf2,98.92
8,2,cf3,99.28
8,3,cf4,98.65
9,0,cf1,99.00
9,1,cf2,98.80
9,2,cf3,99.20
9,3,cf4,98.50
10,0,cf1,98.90
10,1,cf2,98.68
10,2,cf3,99.12
10,3,cf4,98.35
11,0,cf1,98.80
11,1,cf2,98.56
11,2,cf3,99.04
11,3,cf4,98.20
12,0,cf1,98.70
12,1,cf2,98.44
12,2,cf3,98.96
12,3,cf4,98.05
13,0,cf1,98.60
13,1,cf2,98.32
13,2,cf3,98.88
13,3,cf4,97.90
14,0,cf1,98.50
14,1,cf2,98.20
14,2,cf3,98.80
14,3,cf4,97.75
15,0,cf1,98.40
15,1,cf2,98.08
15,2,cf3,98.72
15,3,cf4,97.60
16,0,cf1,98.30
16,1,cf2,97.96
16,2,cf3,98.64
16,3,cf4,97.45
17,0,cf1,98.20
17,1,cf2,97.84
17,2,cf3,98.56
17,3,cf4,97.30
18,0,cf1,98.10
18,1,cf2,97.72
18,2,cf3,98.48
18,3,cf4,97.15
19,0,cf1,98.00
19,1,cf2,97.60
19,2,cf3,98.40
19,3,cf4,97.00
20,0,cf1,97.90
20,1,cf2,97.48
20,2,cf3,98.32
20,3,cf4,96.85
21,0,cf1,97.80
21,1,cf2,97.36
21,2,cf3,98.24
21,3,cf4,96.70
22,0,cf1,97.70
22,1,cf2,97.24
22,2,cf3,98.16
22,3,cf4,96.55
23,0,cf1,97.60
23,1,cf2,97.12
23,2,cf3,98.08
23,3,cf4,96.40
24,0,cf1,97.50
24,1,cf2,97.00
24,2,cf3,98.00
24,3,cf4,96.25
25,0,cf1,97.40
25,1,cf2,96.88
25,2,cf3,97.92
25,3,cf4,96.10
26,0,cf1,97.30
26,1,cf2,96.76
26,2,cf3,97.84
26,3,cf4,95.95
27,0,cf1,97.20
27,1,cf2,96.64
27,2,cf3,97.76
27,3,cf4,95.80
28,0,cf1,97.10
28,1,cf2,96.52
28,2,cf3,97.68
28,3,cf4,95.65
29,0,cf1,97.00
29,1,cf2,96.40
29,2,cf3,97.60
29,3,cf4,95.50
30,0,cf1,96.90
30,1,cf2,96.28
30,2,cf3,97.52
30,3,cf4,95.35
31,0,cf1,96.80
31,1,cf2,96.16
31,2,cf3,97.44
31,3,cf4,95.20
32,0,cf1,96.70
32,1,cf2,96.04
32,2,cf3,97.36
32,3,cf4,95.05
33,0,cf1,96.60
33,1,cf2,95.92
33,2,cf3,97.28
33,3,cf4,94.90
34,0,cf1,96.50
34,1,cf2,95.80
34,2,cf3,97.20
34,3,cf4,94.75
35,0,cf1,96.40
35,1,cf2,95.68
35,2,cf3,97.12
35,3,cf4,94.60
36,0,cf1,96.30
36,1,cf2,95.56
36,2,cf3,97.04
36,3,cf4,94.45
37,0,cf1,96.20
37,1,cf2,95.44
37,2,cf3,96.96
37,3,cf4,94.30
38,0,cf1,96.10
38,1,cf2,95.32
38,2,cf3,96.88
38,3,cf4,94.15
39,0,cf1,96.00
39,1,cf2,95.20
39,2,cf3,96.80
39,3,cf4,94.00
40,0,cf1,95.90
40,1,cf2,95.08
40,2,cf3,96.72
40,3,cf4,93.85
41,0,cf1,95.80
41,1,cf2,94.96
41,2,cf3,96.64
41,3,cf4,93.70
42,0,cf1,95.70
42,1,cf2,94.84
42,2,cf3,96.56
42,3,cf4,93.55
43,0,cf1,95.60
43,1,cf2,94.72
43,2,cf3,96.48
43,3,cf4,93.40
44,0,cf1,95.50
44,1,cf2,94.60
44,2,cf3,96.40
44,3,cf4,93.25
45,0,cf1,95.40
45,1,cf2,94.48
45,2,cf3,96.32
45,3,cf4,93.10
46,0,cf1,95.30
46,1,cf2,94.36
46,2,cf3,96.24
46,3,cf4,92.95
47,0,cf1,95.20
47,1,cf2,94.24
47,2,cf3,96.16
47,3,cf4,92.80
48,0,cf1,95.10
48,1,cf2,94.12
48,2,cf3,96.08
48,3,cf4,92.65
49,0,cf1,95.00
49,1,cf2,94.00
49,2,cf3,96.00
49,3,cf4,92.50
50,0,cf1,94.90
50,1,cf2,93.88
50,2,cf3,95.92
50,3,cf4,92.35
51,0,cf1,94.80
51,1,cf2,93.76
51,2,cf3,95.84
51,3,cf4,92.20
52,0,cf1,94.70
52,1,cf2,93.64
52,2,cf3,95.76
52,3,cf4,92.05
53,0,cf1,94.60
53,1,cf2,93.52
53,2,cf3,95.68
53,3,cf4,91.90
54,0,cf1,94.50
54,1,cf2,93.40
54,2,cf3,95.60
54,3,cf4,91.75
55,0,cf1,94.40
55,1,cf2,93.28
55,2,cf3,95.52
55,3,cf4,91.60
56,0,cf1,94.30
56,1,cf2,93.16
56,2,cf3,95.44
56,3,cf4,91.45
57,0,cf1,94.20
57,1,cf2,93.04
57,2,cf3,95.36
57,3,cf4,91.30
58,0,cf1,94.10
58,1,cf2,92.92
58,2,cf3,95.28
58,3,cf4,91.15
59,0,cf1,94.00
59,1,cf2,92.80
59,2,cf3,95.20
59,3,cf4,91.00
60,0,cf1,93.90
60,1,cf2,92.68
60,2,cf3,95.12
60,3,cf4,90.85
61,0,cf1,93.80
61,1,cf2,92.56
61,2,cf3,95.04
61,3,cf4,90.70
62,0,cf1,93.70
62,1,cf2,92.44
62,2,cf3,94.96
62,3,cf4,90.55
63,0,cf1,93.60
63,1,cf2,92.32
63,2,cf3,94.88
63,3,cf4,90.40
64,0,cf1,93.50
64,1,cf2,92.20
64,2,cf3,94.80
64,3,cf4,90.25
65,0,cf1,93.40
65,1,cf2,92.08
65,2,cf3,94.72
65,3,cf4,90.10
66,0,cf1,93.30
66,1,cf2,91.96
66,2,cf3,94.64
66,3,cf4,89.95
67,0,cf1,93.20
67,1,cf2,91.84
67,2,cf3,94.56
67,3,cf4,89.80
68,0,cf1,93.10
68,1,cf2,91.72
68,2,cf3,94.48
68,3,cf4,89.65
69,0,cf1,93.00
69,1,cf2,91.60
69,2,cf3,94.40
69,3,cf4,89.50
70,0,cf1,92.90
70,1,cf2,91.48
70,2,cf3,94.32
70,3,cf4,89.35
71,0,cf1,92.80
71,1,cf2,91.36
71,2,cf3,94.24
71,3,cf4,89.20
72,0,cf1,92.70
72,1,cf2,91.24
72,2,cf3,94.16
72,3,cf4,89.05
73,0,cf1,92.60
73,1,cf2,91.12
73,2,cf3,94.08
73,3,cf4,88.90
74,0,cf1,92.50
74,1,cf2,91.00
74,2,cf3,94.00
74,3,cf4,88.75
75,0,cf1,92.40
75,1,cf2,90.88
75,2,cf3,93.92
75,3,cf4,88.60
76,0,cf1,92.30
76,1,cf2,90.76
76,2,cf3,93.84
76,3,cf4,88.45
77,0,cf1,92.20
77,1,cf2,90.64
77,2,cf3,93.76
77,3,cf4,88.30
78,0,cf1,92.10
78,1,cf2,90.52
78,2,cf3,93.68
78,3,cf4,88.15
79,0,cf1,92.00
79,1,cf2,90.40
79,2,cf3,93.60
79,3,cf4,88.00
80,0,cf1,91.90
80,1,cf2,90.28
80,2,cf3,93.52
80,3,cf4,87.85
81,0,cf1,91.80
81,1,cf2,90.16
81,2,cf3,93.44
81,3,cf4,87.70
82,0,cf1,91.70
82,1,cf2,90.04
82,2,cf3,93.36
82,3,cf4,87.55
83,0,cf1,91.60
83,1,cf2,89.92
83,2,cf3,93.28
83,3,cf4,87.40
84,0,cf1,91.50
84,1,cf2,89.80
84,2,cf3,93.20
84,3,cf4,87.25
85,0,cf1,91.40
85,1,cf2,89.68
85,2,cf3,93.12
85,3,cf4,87.10
86,0,cf1,91.30
86,1,cf2,89.56
86,2,cf3,93.04
86,3,cf4,86.95
87,0,cf1,91.20
87,1,cf2,89.44
87,2,cf3,92.96
87,3,cf4,86.80
88,0,cf1,91.10
88,1,cf2,89.32
88,2,cf3,92.88
88,3,cf4,86.65
89,0,cf1,91.00
89,1,cf2,89.20
89,2,cf3,92.80
89,3,cf4,86.50
90,0,cf1,90.90
90,1,cf2,89.08
90,2,cf3,92.72
90,3,cf4,86.35
91,0,cf1,90.80
91,1,cf2,88.96
91,2,cf3,92.64
91,3,cf4,86.20
92,0,cf1,90.70
92,1,cf2,88.84
92,2,cf3,92.56
92,3,cf4,86.05
93,0,cf1,90.60
93,1,cf2,88.72
93,2,cf3,92.48
93,3,cf4,85.90
94,0,cf1,90.50
94,1,cf2,88.60
94,2,cf3,92.40
94,3,cf4,85.75
95,0,cf1,90.40
95,1,cf2,88.48
95,2,cf3,92.32
95,3,cf4,85.60
96,0,cf1,90.30
96,1,cf2,88.36
96,2,cf3,92.24
96,3,cf4,85.45
97,0,cf1,90.20
97,1,cf2,88.24
