k,b_k,G_tilde,eta_k,r_drift,gamma,x_before_0,x_after_0,a_0,x_before_1,x_after_1,a_1,x_before_2,x_after_2,a_2,x_before_3,x_after_3,a_3
0,1,-79.550000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
1,1,-79.100000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
2,1,-78.650000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
3,1,-78.200000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
4,1,-77.750000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
5,1,-77.300000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
6,1,-76.850000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
7,1,-76.400000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
8,1,-75.950000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
9,1,-75.500000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
10,1,-75.050000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
11,1,-74.600000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
12,1,-74.150000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
13,1,-73.700000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
14,1,-73.250000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
15,1,-72.800000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
16,1,-72.350000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
17,1,-71.900000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
18,1,-71.450000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
19,1,-71.000000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
20,1,-70.550000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
21,1,-70.100000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
22,1,-69.650000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
23,1,-69.200000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
24,1,-68.750000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
25,1,-68.300000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
26,1,-67.850000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
27,1,-67.400000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
28,1,-66.950000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
29,1,-66.500000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
30,1,-66.050000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
31,1,-65.600000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
32,1,-65.150000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
33,1,-64.700000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
34,1,-64.250000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
35,1,-63.800000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
36,1,-63.350000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
37,1,-62.900000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
38,1,-62.450000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
39,1,-62.000000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
40,1,-61.550000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
41,1,-61.100000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
42,1,-60.650000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
43,1,-60.200000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
44,1,-59.750000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
45,1,-59.300000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
46,1,-58.850000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
47,1,-58.400000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
48,1,-57.950000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
49,1,-57.500000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
50,1,-57.050000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
51,1,-56.600000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
52,1,-56.150000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
53,1,-55.700000,0.070993,0.007301,0.00563436,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1,1.000000,1.000000,1
