k,station_id,old_active,new_active,battery_at_swap
247,3,cf4,cf8,64.53
332,1,cf2,cf6,63.04
432,3,cf8,cf4,75.95
450,1,cf6,cf2,87.55
475,0,cf1,cf5,57.16
626,3,cf4,cf8,72.95
644,1,cf2,cf6,78.52
748,3,cf8,cf4,83.57
766,1,cf6,cf2,87.07
777,0,cf5,cf1,73.04
888,3,cf4,cf8,81.11
906,1,cf2,cf6,84.94
924,0,cf1,cf5,87.00
993,2,cf3,cf7,28.83
1176,3,cf8,cf4,60.65
1274,3,cf4,cf8,87.03
1289,1,cf6,cf2,58.15
1410,3,cf8,cf4,81.43
1428,1,cf2,cf6,85.03
1446,0,cf5,cf1,52.67
1605,3,cf4,cf8,73.06
1623,1,cf6,cf2,78.40
1727,3,cf8,cf4,83.57
1745,1,cf2,cf6,87.07
1756,0,cf1,cf5,72.24
1869,3,cf4,cf8,80.81
1887,1,cf6,cf2,84.70
1905,0,cf5,cf1,86.80
1983,2,cf7,cf3,28.85
2160,3,cf8,cf4,60.52
2259,3,cf4,cf8,86.88
2276,1,cf2,cf6,57.68
2396,3,cf8,cf4,81.31
2414,1,cf6,cf2,85.15
2432,0,cf1,cf5,52.34
2592,3,cf4,cf8,72.91
2610,1,cf2,cf6,78.28
2714,3,cf8,cf4,83.57
2732,1,cf6,cf2,87.07
2743,0,cf5,cf1,72.14
2857,3,cf4,cf8,80.66
2875,1,cf2,cf6,84.58
2893,0,cf1,cf5,86.70
2972,2,cf3,cf7,28.90
3149,3,cf8,cf4,60.42
3247,3,cf4,cf8,87.03
3262,1,cf6,cf2,57.97
3383,3,cf8,cf4,81.43
3401,1,cf2,cf6,85.03
3419,0,cf5,cf1,52.48
3580,3,cf4,cf8,72.76
3598,1,cf6,cf2,78.16
3702,3,cf8,cf4,83.57
3720,1,cf2,cf6,87.07
3731,0,cf1,cf5,72.04
3845,3,cf4,cf8,80.66
3863,1,cf6,cf2,84.58
3881,0,cf5,cf1,86.70
3964,2,cf7,cf3,28.72
4138,3,cf8,cf4,60.39
4237,3,cf4,cf8,86.88
4254,1,cf2,cf6,57.59
4374,3,cf8,cf4,81.31
4392,1,cf6,cf2,85.15
